# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
1.418260393636419167e+03	1.800497342878013995e+01	3.666252192641731439e-02	7.887914271656182568e-04	8.519530928215100773e-02	1.059958122407395585e-03	1.180071344345632989e+00	4.575474070591876476e-03	-6.336630306250282674e-01	4.807249276779760466e-02	1.176147173039592531e+02	1.091814486517121274e+01	2.095960943695538603e+01	7.376369474525626933e-03	1.047253453948085722e-01	9.383350392262486753e-03	6.964483517112280975e-01	2.967428548992962281e-02	-2.162623766298402028e+00	5.966824820633592763e-02
1.820942102837813763e+03	2.565520510673156096e+01	4.766827447011248720e-02	8.259506488519058982e-04	8.059976177808432507e-02	1.114626836840833897e-03	1.218452845429614184e+00	5.004764927826444235e-03	-8.824348634247294321e-01	6.164247422501547419e-02	4.749233544555391973e+01	5.107604535810330582e+00	2.099496023078305029e+01	1.228570325361788389e-02	1.341814799513366130e-01	1.358065407701457457e-02	3.892336106515068006e-01	3.304272667652606577e-02	-2.210408131761124384e+00	5.699285926364669463e-02
2.476957801213432504e+03	5.444904370195395416e+01	6.067108030295564197e-02	1.214312205796403300e-03	7.607006899496393526e-02	1.642975476863530512e-03	1.215860419281613147e+00	7.561597827820314664e-03	-8.861070935682215932e+00	1.207682654567071856e-01	8.143733317696126051e+01	1.295396886447759144e+01	2.118248384971627374e+01	1.553971528773605629e-02	1.190859058942885934e-01	1.794999673082091698e-02	4.188745149564888082e-01	4.584301485231892515e-02	-1.183318968392684845e+01	1.203309622457608141e-01
1.714553650128984373e+03	2.847771738814928710e+01	5.540840697916634555e-02	1.031966638380201395e-03	8.507008846576739891e-02	1.384055342271106343e-03	1.133457122551253970e+00	5.867632060867320094e-03	-2.425162199116916106e+00	7.853453303546373276e-02	5.793462079817537358e+01	6.951534491873026411e+00	2.115919567842128757e+01	1.785303170637696571e-02	1.690012631804888588e-01	1.899603963586319472e-02	4.261737114899794565e-01	4.491450090326860184e-02	-4.241551028810892632e+00	9.489064852396503214e-02
1.470440764055007776e+03	2.211612516401083184e+01	1.396170690655586070e-02	7.954409630745562076e-04	7.291901839073880454e-02	1.078026123983415706e-03	1.209496172971889161e+00	5.043875711599386802e-03	-3.456218938410689834e+00	4.639907256454937901e-02	5.011410241817459621e+01	3.133462077224477227e+00	2.121175015831968480e+01	1.051513842549016940e-02	1.770802431969977220e-01	1.030603243119221704e-02	3.458947831013586827e-01	2.339559793611132796e-02	-4.942392686656949863e+00	5.000537053128829845e-02
1.562033667517199092e+03	2.933630916080119633e+01	3.573371042582528662e-02	1.057059152917048982e-03	7.743634690255922493e-02	1.427944588625461092e-03	1.194129614594780397e+00	6.464895107069337787e-03	3.877856257062049838e+00	6.776843120649266028e-02	1.026189897768483377e+02	9.581558720428819953e+00	2.098919862966377536e+01	8.023915086344550820e-03	1.119336460377442638e-01	1.004924740767735268e-02	6.505353623443449473e-01	3.022581675645827359e-02	3.697119093421901592e+00	6.019262750639987891e-02
1.742420280349580935e+03	2.025270891612293767e+01	4.550179588149873278e-02	6.652610923261252597e-04	7.864382909333877958e-02	8.970064367150560420e-04	1.164400677770686121e+00	3.985816010600639822e-03	-6.806714782392012664e-01	4.886907439996432401e-02	4.987906451258837848e+01	4.026565566472997126e+00	2.105261722533696656e+01	1.358858061753462874e-02	1.880865360111225737e-01	1.419876665412255455e-02	4.465391870407762198e-01	3.321554180676701551e-02	-2.291171621186574470e+00	6.008526864052454036e-02
1.740038684321900746e+03	2.183428090198215443e+01	4.777504416386879615e-02	7.205782183842557049e-04	7.895339773819655405e-02	9.724999724442347704e-04	1.193812238299893025e+00	4.364551214223843026e-03	3.860867509095392336e+00	5.185571161713144195e-02	6.491586756033940731e+01	5.665989807916220755e+00	2.110727092915823988e+01	9.650338817177880543e-03	1.370409916275651119e-01	1.135837465098975957e-02	5.317571037670939527e-01	2.988673414186354335e-02	3.415273310298147624e+00	5.301358307598042635e-02
1.846043986623350293e+03	2.187747136357846856e+01	5.981211815185957792e-02	7.344130860104986945e-04	8.502347928413664380e-02	9.878548358405313690e-04	1.201761975365527091e+00	4.304316150618970292e-03	-6.828223625407667807e-01	5.735078049664892735e-02	1.107406997915956026e+02	8.890500728402603414e+00	2.110914424143483004e+01	7.254195007124690335e-03	1.171330299697416200e-01	9.029683275879784449e-03	6.491036623879300471e-01	2.670556030475794082e-02	-2.198477263627748091e+00	5.931104636746987319e-02
1.973376924558089968e+03	2.933726016158535543e+01	5.531514013110542388e-02	8.518332521507780957e-04	7.880919287853346833e-02	1.150154348398780332e-03	1.203448907051689165e+00	5.185730810044674940e-03	1.242991773488306917e+00	6.901269378276578270e-02	4.106783519040446606e+01	4.129937037575825975e+00	2.116411787658104871e+01	1.880883668849369847e-02	2.026312240256375463e-01	1.900435423106846058e-02	4.330989444237264285e-01	4.370961890820038859e-02	5.079760778938504640e-01	6.768301928719622218e-02
