# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
1.957780454486150347e+03	1.577779080621686347e+01	3.762793178888610562e-02	3.951946213016277920e-04	6.710696542531457975e-02	5.256307139272645493e-04	1.061628385924686890e+00	2.744109482233329008e-03	7.621609795929073172e+00	9.331628198961348930e-02	4.126758384050448853e+02	7.547376443291232917e+00	4.722653759646161298e+00	6.267478845993302910e-04	4.462441382119909650e-02	7.828968192538859157e-04	2.620995530160299403e-01	2.397311889258058742e-03	6.767556357536063771e+00	6.842571234257804891e-02
1.887950728794212637e+03	1.501179333685497852e+01	3.719530892837724645e-02	4.076584334362101333e-04	7.007014905523492598e-02	5.408848282089411463e-04	1.071374845848493740e+00	2.787403014893616218e-03	4.514595721367007819e+00	9.394086157753848976e-02	4.293588238545506783e+02	7.746822622915399137e+00	4.718882070421094532e+00	6.174800868117088668e-04	4.424216525202957079e-02	7.642634663638166485e-04	2.411865488514781941e-01	2.274100403667617381e-03	3.165037478577463315e+00	7.379484441658278049e-02
2.001327278696941448e+03	1.556364338497265010e+01	3.667060706909573004e-02	3.903319165942396906e-04	6.862784310042910341e-02	5.183768235550291568e-04	1.057258599716272007e+00	2.672100203513791059e-03	-3.999845736801271867e-01	9.525202392565919329e-02	2.617002495591876823e+02	6.468560762044330836e+00	4.716552040213210617e+00	8.798291471467389619e-04	4.590651257390348378e-02	1.085577453243510978e-03	2.449196574449196695e-01	3.207398758603314907e-03	-1.985786166491221971e+00	6.389089979940727748e-02
2.093082639274630765e+03	1.615246741170578559e+01	4.513646130489907399e-02	3.928628705246660314e-04	6.958758422578337210e-02	5.213543933957711686e-04	1.062273023709515485e+00	2.679574958769828392e-03	6.021889687885553677e+00	1.005546646438162384e-01	3.144610944908342844e+02	5.932985225578185862e+00	4.723355294673942772e+00	6.795205756606293801e-04	4.610782526061124598e-02	8.305995524784444027e-04	2.297678963155714849e-01	2.393846007518087536e-03	3.722306280739907880e+00	6.167032327881035586e-02
2.069096527863892788e+03	1.497841728523764893e+01	4.603916206212762402e-02	3.778306076813013354e-04	7.124509919314998829e-02	5.003388314356353121e-04	1.041754118435952448e+00	2.512122462414769115e-03	2.412016369699946594e+00	9.747299663328817809e-02	3.683861336330570566e+02	8.497922399335315902e+00	4.740879862200653605e+00	7.829929605503723562e-04	4.392270975832904267e-02	9.703062178442702817e-04	2.416207618774004195e-01	2.896453465451336549e-03	-1.452343152565385986e-01	8.009522990388484587e-02
2.146611687778079613e+03	1.695554659924733798e+01	4.651773658507200176e-02	4.099164297247393234e-04	7.090963492422856784e-02	5.435291395098638999e-04	1.075558870575931136e+00	2.793732680666314704e-03	2.657847448739883767e+00	1.076793518085081419e-01	4.036335180553905388e+02	6.326773357756262151e+00	4.758850404139158385e+00	5.559201353283026040e-04	4.564607920737231289e-02	6.840649546777072916e-04	2.385339197106907116e-01	2.005413296006009795e-03	6.166221618444539532e-01	6.321947198612477836e-02
2.111671057901034146e+03	1.717651754954289345e+01	4.257252398509408370e-02	4.100822098195921290e-04	6.892812212666675487e-02	5.445279504269012966e-04	1.062010063278760130e+00	2.809940055569839883e-03	2.817956458676244225e+00	1.055156127556002021e-01	3.859659199876207367e+02	8.413309363368430382e+00	4.765788271854320080e+00	7.592043709343770496e-04	4.480607694107967970e-02	9.338079304790491020e-04	2.331507645694803343e-01	2.731958631022038484e-03	-3.893571881667841073e-01	8.345950146245939560e-02
2.076521395499413757e+03	1.621467623679933823e+01	3.966533694271123789e-02	3.980049535384327626e-04	6.967337450746757810e-02	5.282476513109033486e-04	1.069988071506263738e+00	2.726721760841158831e-03	-1.976748672496799752e-01	1.007241501807219636e-01	4.236791517147572108e+02	7.972710239643776120e+00	4.778502182024581657e+00	6.121100113705698698e-04	4.226885932145837965e-02	7.628581472179410102e-04	2.427260088703561691e-01	2.312173125594476492e-03	-2.463339775644288743e+00	7.129100428852781779e-02
1.661222921718914677e+03	1.394602306162389738e+01	2.994266109005078169e-02	4.433168570267527562e-04	7.212116514244275300e-02	5.872876769364789072e-04	1.083069383133029140e+00	3.010433281719075444e-03	5.825720359256737702e+00	9.038487609126044653e-02	3.854897410101785908e+02	6.510722337523232817e+00	4.721933512132754807e+00	5.866985692016001052e-04	4.462563338601939489e-02	7.204447662463797034e-04	2.293996327165043203e-01	2.098111568718624871e-03	4.213254911408824910e+00	6.500987222627352402e-02
1.849595418724271440e+03	1.675939739944517015e+01	2.450819755421226182e-02	4.297345621317062302e-04	6.500239368734422873e-02	5.729283440502011982e-04	1.078915778049706509e+00	3.067215962029946896e-03	2.144553315644206926e+00	9.386509593768431470e-02	4.600470199434438996e+02	7.598064246380151765e+00	4.708014291122325723e+00	5.700225827752692298e-04	4.474742842707580409e-02	7.081045771893204090e-04	2.512240655091285135e-01	2.131185680680596373e-03	8.476157458764342900e-01	7.130212186220673265e-02
1.745766351706713294e+03	1.588354397000624196e+01	2.290843311755519016e-02	4.520081323148077103e-04	6.797165939080750119e-02	6.009089954924947937e-04	1.073485966171153549e+00	3.142882943324628534e-03	-7.845312234184373956e-01	9.508782675491031511e-02	4.034875348610137280e+02	7.846073178435322149e+00	4.724846587593287239e+00	6.744783191254376123e-04	4.446582030847800321e-02	8.260089439566650413e-04	2.241337933256552228e-01	2.388320839579670309e-03	-3.961666388291981811e+00	7.928517769109508229e-02
1.942277757948452290e+03	1.433711742927131816e+01	4.053245139751197879e-02	3.787265367434967814e-04	7.010769195745003568e-02	5.023065524393840586e-04	1.058937292763596938e+00	2.567806982830158572e-03	6.440548130384118330e+00	9.036222951620141719e-02	4.246127826181661362e+02	6.443587360323736135e+00	4.737111958209037077e+00	5.162304596378794160e-04	4.393214960245430539e-02	6.380948069581987960e-04	2.369472084903644638e-01	1.890766172410047715e-03	5.237820698583735890e+00	6.161311866830116585e-02
