# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
1.854991467138481312e+03	9.254004955300683122e+00	3.750957920297863513e-02	3.043681326462622030e-04	8.288996179194310643e-02	3.994905868662222974e-04	1.099692873617247324e+00	1.947122233794316721e-03	-1.632322922705058943e+01	7.246749369802245322e-02	4.089818479925975794e+02	7.357607252857019553e+00	7.176547727050173187e+00	6.103505721622574150e-04	4.397063943762423432e-02	7.579565604989167617e-04	2.456172958384401084e-01	2.274500709908003522e-03	-2.054443476511913858e+01	6.858582681257154035e-02
1.729678345973772593e+03	8.663825669197674273e+00	4.967610513567632252e-02	3.255073288553397685e-04	8.809261935340240157e-02	4.254966679736433915e-04	1.119568302550170147e+00	2.044944388211140680e-03	2.707300074548363300e-01	7.325521667734710696e-02	4.034671157098910612e+02	1.066974123402483521e+01	7.193184748110999394e+00	1.144763846249555487e-03	5.484717028114503845e-02	1.380821127860599887e-03	2.520479332385584526e-01	3.881583474060869201e-03	-1.106456758876009694e+00	1.292228923819255526e-01
1.700492538876427261e+03	7.878406431882009286e+00	5.147277457501753944e-02	3.066882351342857960e-04	8.966003750663663341e-02	4.003328887340033165e-04	1.119441947221163636e+00	1.909371068803376393e-03	7.117135342805699372e-01	6.829501131218190801e-02	4.577845340178256492e+02	6.584646758431587088e+00	7.201501037972323438e+00	5.166313452846969193e-04	4.623982786590434546e-02	6.359483025076043648e-04	2.421510397699743466e-01	1.865436466569225576e-03	-1.268665831685637180e+00	6.613507646924314531e-02
1.480888426424869749e+03	8.414824284084632566e+00	1.840948029883590284e-02	3.382910758854588366e-04	8.097483950433033428e-02	4.448531312240004069e-04	1.105298733363611730e+00	2.197950966824702493e-03	-6.102121618802215153e+00	6.358618990364799106e-02	4.392586828722392056e+02	7.378240425312596606e+00	7.047305937893989736e+00	5.836415818333737758e-04	4.504913564719387198e-02	7.250088197143990821e-04	2.527101443416227555e-01	2.180825709217232636e-03	-1.046028394425314723e+01	6.951004301879666614e-02
1.320988517265983774e+03	6.351493374933706804e+00	3.786831354255901227e-02	3.500201061186660324e-04	9.819968604134082790e-02	4.535573757010252977e-04	1.128977524420442524e+00	2.093415358328926806e-03	9.537580886479816999e-02	6.230139315187019355e-02	5.100989424092705917e+02	7.878846116906885300e+00	7.049384607080589227e+00	5.395769152838078911e-04	4.551288205500077233e-02	6.744618877230193401e-04	2.687461729451796622e-01	2.069357646776582779e-03	-1.939123531758864871e+00	7.189709439646571609e-02
1.552392210908228890e+03	7.871828687582077322e+00	7.149948764091659803e-02	4.199343572044826893e-04	1.109863237596113300e-01	5.380949282197226846e-04	1.134183400151665522e+00	2.367267300509031443e-03	-6.855279544611456721e-01	9.140011811630956162e-02	3.743402112064836729e+02	6.028580008376953181e+00	7.185734052193344823e+00	5.958590584315996350e-04	4.767859331614200669e-02	7.343813780051001907e-04	2.524186224350560837e-01	2.164291060209053499e-03	-2.958904546069373698e+00	6.111457011283146640e-02
1.522293668484608588e+03	7.977153895702414843e+00	7.265838861081343192e-02	4.396830605857198837e-04	1.123092682338553278e-01	5.624312215126474812e-04	1.119667698907318654e+00	2.441030167448255631e-03	-2.031691472934940901e+00	9.474395667193744042e-02	4.297410018522352289e+02	7.358765701612415278e+00	7.160985599636235044e+00	5.866945946834447581e-04	4.471506872206757605e-02	7.351613875621256389e-04	2.691008339817752559e-01	2.270501948910589284e-03	-4.776607520769013071e+00	6.554580177649017847e-02
1.640062441192010738e+03	8.245335848367918885e+00	6.212484336103727550e-02	3.770044847534828082e-04	1.010411441889651207e-01	4.874891824376240026e-04	1.141359237443272168e+00	2.239694648140643993e-03	1.575419714722345210e+00	8.372737208645877893e-02	4.227861545240658643e+02	5.259690425976995876e+00	7.189308606590706141e+00	4.548665087522919814e-04	4.709061779686959243e-02	5.602491415775557454e-04	2.479508505051749301e-01	1.647345669266802931e-03	2.271304674762129605e-01	5.316182009581334189e-02
1.624967211385839164e+03	8.078645058283200342e+00	6.867137576115953101e-02	3.956453763239769421e-04	1.068497566866611903e-01	5.086631556086596570e-04	1.124421771597234665e+00	2.259977364963454242e-03	-2.307976335669788881e+00	8.934025338418967455e-02	6.450390584183631972e+02	1.021041762077694059e+01	7.159342702112636125e+00	4.740925575105895198e-04	3.987030679990364451e-02	6.101085589101575696e-04	3.079756517064060617e-01	2.077596731854315995e-03	-4.874187618631761865e+00	7.052572967442882756e-02
1.621947699101174521e+03	8.346251163849009558e+00	6.200603336644351649e-02	3.704838087208068577e-04	9.715815671103038287e-02	4.804483595907569292e-04	1.123948533631629942e+00	2.220615550826855918e-03	6.330810522859920297e+00	8.082618966183627296e-02	4.425891814490007619e+02	7.264415870551549581e+00	7.174686462349988858e+00	5.855612349045670028e-04	4.626286122395140837e-02	7.275140825617793135e-04	2.600748110287697257e-01	2.191024887228507859e-03	4.242216840662669242e+00	6.932888487448846115e-02
1.677055554227955326e+03	8.727354060156400806e+00	7.048621433255548852e-02	3.921843124812542081e-04	1.014792242705738756e-01	5.066929408312963266e-04	1.127569601396565480e+00	2.304444790226919167e-03	7.039823379228171696e+00	8.968637916081446948e-02	5.016906135214900928e+02	8.270980131139531011e+00	7.158432749044284726e+00	5.298418566832452554e-04	4.171150097387629763e-02	6.592826866456581595e-04	2.360386006123684766e-01	1.985674972238064568e-03	6.164542118293675266e+00	7.417310238306637493e-02
5.776765448429953267e+02	4.210838516403970111e+00	-8.129293744616027106e-02	8.021128431196339033e-04	1.450549813622728224e-01	9.988364304532816509e-04	1.175195026849139124e+00	4.045579661140082453e-03	-4.627199782799120698e+00	6.967257465741677480e-02	4.396121901497789395e+02	6.696235770606750570e+00	6.962064516579711260e+00	5.351050756776637007e-04	4.500055537647981024e-02	6.546709704250727561e-04	2.253227989403682185e-01	1.888642502485608299e-03	-7.842543765190565175e+00	6.843326210863213965e-02
1.757863513698891666e+03	8.597181903311716056e+00	5.655119748217564413e-02	3.729322205009466301e-04	1.026090947789711910e-01	4.812846370957528440e-04	1.124739260957261289e+00	2.175127626160756281e-03	-1.852605607089808970e+01	8.983986683779146554e-02	4.649243987797859745e+02	6.661150097023378791e+00	7.144581724165995240e+00	4.829471897045900454e-04	4.418704572364327843e-02	6.086729091506223963e-04	2.795108712662465189e-01	1.916301944951888251e-03	-2.308259153726410062e+01	5.679146130502861489e-02
1.112128235653996171e+03	6.695947814506530982e+00	2.080458440203726209e-02	4.411993515254909824e-04	9.883946266684859316e-02	5.715650319106018807e-04	1.139215591514108228e+00	2.647203210788595662e-03	2.303436264950039725e+00	6.599310784036627187e-02	4.844135290811764207e+02	7.685763681038414674e+00	7.051643462745297519e+00	5.235455674254628879e-04	4.325143154154394848e-02	6.597233321966074334e-04	2.729736439475761167e-01	2.074545196207095397e-03	-1.834716928279600187e-02	6.487369366006939808e-02
1.459891880574039988e+03	7.635313718242397130e+00	5.336911205538491521e-02	3.916120185198510755e-04	1.008666582088083713e-01	5.062741926269832913e-04	1.130357682282889797e+00	2.312344400257802194e-03	2.430208067458960564e+00	7.771040562697201226e-02	3.913622324506470704e+02	5.616683435317779249e+00	7.077560165529329872e+00	5.018856541151097165e-04	4.485522781683629751e-02	6.150475731194964902e-04	2.271619441315461951e-01	1.781343190308257770e-03	6.052013433806069376e-01	5.683030925558862911e-02
1.630502656759537331e+03	8.455168629124957036e+00	4.123824230596532386e-02	3.194506847377923315e-04	8.367961138954246869e-02	4.191376558860861472e-04	1.111801183064987208e+00	2.049712195516749901e-03	2.651298696989545789e+00	6.672746406101222327e-02	3.921958747467507465e+02	6.500475923063109285e+00	7.108134331305204334e+00	5.389331728077397009e-04	4.282353474110280056e-02	6.834739149741434145e-04	2.864021722180031260e-01	2.198459402278884946e-03	3.307819611613714850e-01	5.222686800518707567e-02
1.663985836608288992e+03	8.632342356102084224e+00	7.284796638903835719e-02	4.114231315661418323e-04	1.064336362517108170e-01	5.287410688227458947e-04	1.103650997953508961e+00	2.323732952839552713e-03	-1.478084208962724855e+00	9.581051561474308864e-02	4.710243679862149975e+02	7.963861945495775529e+00	7.145932652469632274e+00	5.858291848007669790e-04	4.498395006399256296e-02	7.289719219712305050e-04	2.556649041798453870e-01	2.203148439963640865e-03	-4.242891844109286659e+00	7.423599633560991340e-02
1.812588388324653579e+03	8.062228977859565049e+00	6.101481265813787913e-02	2.939541560746379936e-04	8.950742512719220279e-02	3.836942607265832975e-04	1.113468622580300771e+00	1.824648478707614242e-03	6.586912023668493710e+00	6.990853946186634249e-02	4.018075734597549058e+02	6.531321814915457047e+00	7.207026856973971718e+00	5.813670380804259168e-04	4.606161830868855250e-02	7.160631086785550518e-04	2.422429642627422497e-01	2.103450647586094756e-03	4.879835749900144570e+00	6.526275898816340237e-02
