# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
1.840856132675336994e+03	1.860290844153536938e+01	2.969955362262462206e-02	5.153898406821454201e-04	6.977575980790982901e-02	6.847613970999979430e-04	1.114539575566246832e+00	3.632295391807005471e-03	-9.690057699074591246e-01	1.132749018817396369e-01	2.613730765256841551e+02	4.369813466406021973e+00	7.228779461547037322e+00	8.337854145446154048e-04	6.362246992256315181e-02	1.013643021408841766e-03	3.100190698413837764e-01	2.918521248373017775e-03	-1.246531287550272538e+00	5.517603062468681707e-02
1.932396559459547689e+03	1.852811771651713357e+01	3.677984370468610070e-02	4.858584076992788331e-04	6.924569320926463045e-02	6.447063791245651737e-04	1.048299245397932733e+00	3.291390618837358468e-03	-1.568298663815800742e+00	1.154004074308362521e-01	2.892690502186110848e+02	4.524599565259087797e+00	7.266881490681765143e+00	7.862488722205763884e-04	6.463504650420492936e-02	9.653276021216044027e-04	3.374810234660343133e-01	2.851522121960319879e-03	-2.354672345141916256e+00	5.483477357901327814e-02
2.012246484203869613e+03	1.945987694997654316e+01	3.427774814608178927e-02	4.756962239103044760e-04	6.731841513550779199e-02	6.326323940592643285e-04	1.064598510831482159e+00	3.304417018499645857e-03	-1.726698752123548619e+00	1.154227395401692946e-01	2.474158810636313603e+02	5.133485230189775983e+00	7.388175491349311841e+00	9.862280074641610345e-04	6.117711539275795529e-02	1.212724482287905019e-03	3.215788778716888174e-01	3.584954086494745399e-03	-2.992534058426046695e+00	5.994987672161664061e-02
1.770050043052414821e+03	1.762652470453661735e+01	2.284451519288419399e-02	4.906413720670922988e-04	6.746985888550914578e-02	6.530517168543743421e-04	1.103035834723798514e+00	3.491072051057443875e-03	1.056524644139110292e+00	1.028757213952543603e-01	2.962614079518250492e+02	4.859340802973326490e+00	7.306066046347006626e+00	7.687934578691845528e-04	6.017658965239561925e-02	9.424262836899343970e-04	3.094876244687064237e-01	2.762365630733315536e-03	1.990832859906990882e+00	5.720235499688212932e-02
1.927848850291816234e+03	1.943145891619588639e+01	2.733766327744234156e-02	4.920809271030088293e-04	6.690612888941006864e-02	6.557140056997364224e-04	1.130993037768977194e+00	3.580235854384280526e-03	1.288738610746005486e+00	1.105757926705325939e-01	2.462023278044401593e+02	3.996606786506520681e+00	7.348217638589445322e+00	8.542376468942267575e-04	6.678000214945069291e-02	1.031538365972760806e-03	3.114082767085328274e-01	2.926910635147998447e-03	1.538468908353079811e+00	5.338589183198817062e-02
2.006125179073749678e+03	2.144624341535472212e+01	2.806879220301294539e-02	5.161079972348862725e-04	6.617372346085333146e-02	6.878991220614340480e-04	1.112263142055694987e+00	3.730861312676491716e-03	-2.909207183114922657e+00	1.211935173713249575e-01	2.352746596647241404e+02	3.301581647899751726e+00	7.374726681289343944e+00	7.218941182643700280e-04	6.522752683848241639e-02	8.709390066953215338e-04	3.019977467209117861e-01	2.463308522983817701e-03	-3.519410248994689461e+00	4.373953482237407514e-02
1.888164955633637192e+03	1.954247214692866308e+01	2.811889696482992168e-02	5.017938930911366871e-04	6.637876264718467478e-02	6.679416085310500070e-04	1.066283930736540819e+00	3.514356874071503274e-03	-2.257830708407434273e+00	1.135222820205649963e-01	2.600640120390722245e+02	4.078135442112922782e+00	7.348960506456552189e+00	7.888385898777832686e-04	6.398020278370382397e-02	9.554572737881861840e-04	3.037203612553084908e-01	2.724937797047979459e-03	-3.120195418566566570e+00	5.254092161380519849e-02
1.747234865382809176e+03	2.059343007310408069e+01	1.483689020599236047e-02	5.818007300745341864e-04	6.764205552142243949e-02	7.750133355113134623e-04	1.146480307626932982e+00	4.251648338404188585e-03	-4.883110647000767912e+00	1.181954102595702549e-01	2.635679075507855487e+02	3.746614211339712952e+00	7.349170324422898304e+00	6.888269145038100486e-04	6.121977914472061244e-02	8.276710710201081811e-04	2.756139011892345114e-01	2.314904108955855196e-03	-6.010434271667010719e+00	4.888718050484233690e-02
1.949745640824269458e+03	1.601231378556649787e+01	3.314124307467874314e-02	4.226872391974771876e-04	7.034028701371683456e-02	5.607009704230773127e-04	1.072233858671272744e+00	2.886262038946621217e-03	-7.667261681013028074e+00	1.007025148741997472e-01	2.685511808884202765e+02	3.665366447273172845e+00	7.390572909989083783e+00	6.358846132556110866e-04	5.902956196733440825e-02	7.668568752958893758e-04	2.713853510612020403e-01	2.158261082145830796e-03	-9.339169892442130916e+00	4.617913752253603038e-02
1.879412393087576447e+03	2.068167423235008329e+01	2.472573696920382647e-02	5.176287783293156150e-04	6.447657029772048409e-02	6.903535288343862165e-04	1.073976368473120724e+00	3.697648558366423404e-03	-9.076779027151999912e-01	1.147958358288099362e-01	2.762064963049444941e+02	3.961955368261183441e+00	7.309050795080008989e+00	7.612905757667881666e-04	6.712998313884829815e-02	9.155609323931078675e-04	3.052770806901378142e-01	2.575697148215121222e-03	-2.138092642843354985e-01	5.404250344506487946e-02
