# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
1.792216073493056911e+03	1.777537483053799505e+01	4.369252298707427401e-02	5.705671120495317767e-04	7.876487553190664181e-02	7.632013533848252271e-04	1.106381480269471140e+00	3.451674416172488026e-03	-1.374418653982690808e+00	7.694964220252772935e-02	3.582156215856246604e+02	1.092970084962443345e+01	7.894913813411411851e+00	1.216183451927257573e-03	5.118825206676187040e-02	1.495065051166422944e-03	2.591404291590059805e-01	4.286770689432389293e-03	-2.521937199515623895e+00	8.167226688278665658e-02
1.352085883032384800e+03	1.850952789418708022e+01	-9.722226213384315904e-03	6.982179121700310236e-04	7.011230382962811702e-02	9.400896527822283008e-04	1.116464802474190332e+00	4.497705579499052322e-03	-9.074487555312224174e+00	6.749682506824503103e-02	3.855266087702971163e+02	8.737906475382748894e+00	7.807669698151588733e+00	9.356392768689826469e-04	5.221942141793847747e-02	1.129116113934841266e-03	2.339504847085956130e-01	3.106677129560954809e-03	-1.199678933642154810e+01	7.209444161651420990e-02
1.848845461934570039e+03	1.412143891566739207e+01	4.322494650228174418e-02	4.325176522917628056e-04	7.755551477910264946e-02	5.789247318469848986e-04	1.101343404068924503e+00	2.629832352836803094e-03	-5.951843308359944240e-02	6.002544835583938088e-02	2.407236257522075960e+02	1.021272592356841180e+01	7.915657598823757191e+00	1.540072394201730905e-03	4.738167742208111710e-02	1.933775350461754442e-03	2.817886499306027637e-01	5.871050920072230263e-03	-8.942610167413811428e-01	6.493381009378230984e-02
1.559981880965465052e+03	1.390417549335424496e+01	2.189493962886872661e-02	4.945932605436235540e-04	7.610579329200536924e-02	6.634059376984256838e-04	1.128446271371690290e+00	3.077595812953079230e-03	-3.813567777762113309e+00	5.648633932951274694e-02	4.746889204932928124e+02	1.308383173176906844e+01	7.840044553636473346e+00	9.551180059002851693e-04	4.518048019450710689e-02	1.197584761652449679e-03	2.651210903900046434e-01	3.615507433898752874e-03	-5.170464296366866108e+00	8.194143267020904953e-02
1.759582104741309195e+03	1.647326085227444636e+01	4.379658490230342593e-02	5.353853473082307701e-04	7.832017206234986872e-02	7.165268952828663870e-04	1.111817175726584894e+00	3.256889407661679378e-03	3.620098608097989779e+00	7.048492052056204438e-02	4.437024531463178505e+02	1.209772268348579338e+01	7.891748043438452598e+00	9.901787206709872745e-04	4.711886904651801933e-02	1.233865351859313609e-03	2.633664765398813223e-01	3.660900554311436080e-03	3.001695517495826859e+00	8.039080478103191596e-02
1.061160921479450508e+03	2.001073664891368864e+01	9.896437761084918294e-04	1.132755697673973327e-03	8.213836598447200876e-02	1.511835798651807450e-03	1.110933285262986292e+00	6.727429196059554924e-03	8.084402150532312703e+00	9.160350425218405368e-02	4.153098316790814692e+02	1.890735660325975331e+01	7.777209157516007387e+00	1.775768973738767187e-03	5.062278899770038948e-02	2.212692054080509212e-03	2.834512380795665143e-01	6.576215309888844458e-03	8.353315243181333116e+00	1.303269058366632316e-01
1.683786834699628571e+03	1.369416483227620418e+01	4.119139368485679603e-02	5.050491795734517392e-04	8.485915086800424612e-02	6.734914784866035493e-04	1.136463318322818328e+00	2.989456683911131864e-03	-3.252943673391901047e+00	6.451696580422730531e-02	3.636731385060883213e+02	9.402758542783104190e+00	7.829456439525729117e+00	9.617627797783220031e-04	4.827889177003028692e-02	1.198764096981410048e-03	2.705813608075219312e-01	3.561521973849001658e-03	-4.609980694835135395e+00	6.316044125029618428e-02
1.777946442226960926e+03	1.641032181043216198e+01	3.577700593722490940e-02	5.394401319409357961e-04	7.995544691241937563e-02	7.207450545583492241e-04	1.099682320790902335e+00	3.228051246597783436e-03	-1.173717888762916495e+01	7.289893870790400965e-02	3.570836402629360578e+02	1.030498305457875752e+01	7.880553539948446762e+00	1.120075587112136358e-03	4.960114211995732270e-02	1.368935117403396193e-03	2.409969653390595934e-01	3.868055134723370064e-03	-1.448452529412628031e+01	7.805272192038076318e-02
1.710420790085645194e+03	1.577675907764986363e+01	4.768489018840588872e-02	5.605832734705787791e-04	8.301285602606034431e-02	7.471712736228045687e-04	1.094413187616762873e+00	3.283861520992827337e-03	-1.196591405061393498e+00	7.415345743315704397e-02	3.137356126046695408e+02	1.140446315683609413e+01	7.917292663997587354e+00	1.377444418255743862e-03	4.820169935009493284e-02	1.673907406730774147e-03	2.253126971210122620e-01	4.666720651714089015e-03	-3.855529108923927417e+00	8.750721018234217108e-02
1.462257824649593204e+03	1.492905400841485530e+01	2.561487193541884741e-02	5.967053028502110551e-04	7.999851911997542253e-02	7.978887163428526183e-04	1.119487618061157486e+00	3.605917790505248216e-03	-3.514177043126941458e-01	6.547389655197310976e-02	5.184251483815100983e+02	1.691998005004298022e+01	7.840250908766417837e+00	1.062876594128367522e-03	4.274239426081793275e-02	1.344236016165157709e-03	2.696065098625975431e-01	4.166977610529863305e-03	-1.552690960985475321e+00	9.733032230298198362e-02
1.469529705858293482e+03	1.424733050895681252e+01	1.028272916548561219e-02	4.991553213428483139e-04	7.078774823415842632e-02	6.721040083115176807e-04	1.131274849914849945e+00	3.224291689684694560e-03	2.694749942272505194e-01	5.212887104152869738e-02	3.787019721314883327e+02	1.004459580213105241e+01	7.784413817771864252e+00	1.004097745200440003e-03	4.851332944216003862e-02	1.231600611299196821e-03	2.414666962504090630e-01	3.508012402180860686e-03	-4.675901387618518479e-01	7.388597412428135613e-02
1.655103914219544549e+03	1.903292886079301738e+01	3.008721087007967809e-02	6.421638886465549532e-04	7.656478797858935759e-02	8.609255666198465436e-04	1.124180369593682949e+00	3.975423371020522963e-03	-1.662449665515408403e+00	7.820769719021249122e-02	4.064341896199608186e+02	1.039900822202727149e+01	7.834592491705005379e+00	9.516154270565059916e-04	4.786250816850701195e-02	1.173298134205718289e-03	2.470573588672815568e-01	3.384137929018461721e-03	-3.052508633309966690e+00	7.393728377751312975e-02
