# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
1.746710530005222608e+03	1.421643318898691355e+01	1.104985925753867171e-01	8.500641558346562531e-04	1.382831259198445406e-01	1.065769490912659313e-03	1.193451545891478505e+00	4.441948529883318897e-03	5.239909022960231866e+00	2.187220148273997522e-01	5.061268631618916629e+02	1.107598644936295962e+01	3.329416304884010636e+00	6.195436836412864445e-04	3.678559663904895638e-02	7.724534921591102174e-04	2.102825702843025835e-01	2.329202477351687527e-03	5.328075606638268624e+00	9.201378182046020260e-02
1.549795949848325108e+03	1.067928909067608778e+01	1.150187992191207542e-01	7.697772659596877846e-04	1.469937929320680459e-01	9.562326708088780651e-04	1.154197877458666976e+00	3.804639639413126030e-03	1.675346782314985239e+00	1.812062301335153613e-01	6.214467520290334051e+02	1.185975084569455618e+01	3.272329294736529448e+00	5.155471507300372729e-04	3.529474337542291146e-02	6.473031987174169850e-04	2.133888596328977205e-01	1.992186252255575760e-03	1.999019187181324542e+00	9.236048904244228974e-02
1.660745258006440963e+03	1.190862568937508392e+01	9.343458883087628342e-02	7.777581027212050529e-04	1.432041344065205224e-01	9.707229953103442685e-04	1.187713423174564076e+00	3.977660535379157723e-03	-2.255514002257030270e+01	1.926355979820850162e-01	5.758869307458102185e+02	9.009320564753405591e+00	3.252149925584765455e+00	4.463565888410134046e-04	3.744435000607544695e-02	5.637144449368437608e-04	2.392605633586158687e-01	1.775358040420725462e-03	-2.561357388722288420e+01	6.955232570791412827e-02
1.495627220840408654e+03	7.023044509627281329e+00	6.369215784188747564e-02	3.717150489415945390e-04	1.062831531969442439e-01	4.779733525443261694e-04	1.114880220764878027e+00	2.116149322243519957e-03	2.440133843357188859e+00	7.741314640932243918e-02	5.005310793849438369e+02	1.052519182299161926e+01	3.192709679897721919e+00	5.893392020835122808e-04	3.644985867133992280e-02	7.355003361120422125e-04	2.098718686202758754e-01	2.223451798157448107e-03	4.719760925262089790e-01	8.652324922937404406e-02
1.955897639346642563e+03	1.569407452442047735e+01	9.677643384761513978e-02	7.445836015209764168e-04	1.236892224047763111e-01	9.447071643557444342e-04	1.170834652391395503e+00	4.063102069694204260e-03	-4.005170467693912606e+00	2.087224041696343069e-01	6.220668121793211185e+02	1.489724098275307895e+01	3.312974099321974730e+00	6.399212017547227386e-04	3.508163316450982339e-02	8.086901367292604389e-04	2.245779332379259918e-01	2.544519908767566702e-03	-5.977243486527260785e+00	1.107652782886909965e-01
1.708912351165512064e+03	1.323414090203704241e+01	1.066169616929774910e-01	7.814789053235484968e-04	1.338506402606723100e-01	9.831230509568648392e-04	1.181206163244024054e+00	4.121336438868580115e-03	5.127523642581522267e+00	1.955310435499950095e-01	6.837535253893674962e+02	1.349897651366072537e+01	3.315223608311244963e+00	5.314614186002430095e-04	3.526142689414235587e-02	6.695263334173840201e-04	2.195095692219275474e-01	2.084005578273390863e-03	6.079117335008599632e+00	1.027904853275293517e-01
1.354696380164201400e+03	1.085324368769755665e+01	9.086058605180635794e-02	8.369576106303621820e-04	1.382447761366839556e-01	1.048784985371059792e-03	1.179061981208282095e+00	4.335699993425155656e-03	1.562750807166226608e+00	1.677797386044682093e-01	5.705082854469795848e+02	1.077125928555462941e+01	3.234636928818620749e+00	5.027818103820368622e-04	3.497614954200565368e-02	6.357244017553302304e-04	2.249688928432584112e-01	2.003889473840682420e-03	1.823357006016806725e+00	7.966725681796293923e-02
1.527724790847197710e+03	1.258352496619754213e+01	9.865764195020250427e-02	8.880052418852825077e-04	1.423041049524031432e-01	1.108376772916020141e-03	1.169462864461086493e+00	4.505312022651513509e-03	-6.956342519225318988e+00	2.031209655417985094e-01	4.908123286593100829e+02	1.012628158548077195e+01	3.248116743480553126e+00	5.912241979533348251e-04	3.742201482646037580e-02	7.418889971822027057e-04	2.258975094016640317e-01	2.285000972799597959e-03	-9.226447767189680960e+00	8.155539405472615744e-02
1.581208650866743255e+03	1.204280901122641012e+01	1.023987434732125806e-01	8.097571735830123634e-04	1.404422418487511759e-01	1.012101030809203989e-03	1.163220631849592346e+00	4.120291735755517160e-03	-2.941115719266186534e+00	1.913498955360080078e-01	6.055238733159916364e+02	1.258685265746021820e+01	3.263222073557215275e+00	5.507912836650174929e-04	3.479855704242343362e-02	6.963382158111068457e-04	2.234855416064290834e-01	2.193392678198985857e-03	-2.845780898704303841e+00	9.293849571409169841e-02
1.342578017949070954e+03	7.881272584459140695e+00	1.134536348689241803e-01	6.864526406587043031e-04	1.531632415122501090e-01	8.470221533184402012e-04	1.128295958176462888e+00	3.268469960998322994e-03	2.218031689842594911e+00	1.428117829116189730e-01	6.121208952628214774e+02	1.032832450127952839e+01	3.207420258502590826e+00	4.758089291576813869e-04	3.677251803562605476e-02	5.958517607233628811e-04	2.179342872825867361e-01	1.821581075099356272e-03	2.017189892750708591e+00	8.350694509687417444e-02
1.186237645117221746e+03	7.311021395563894743e+00	1.185616571781807765e-01	7.858386893580551974e-04	1.660580070137903652e-01	9.599214678652915125e-04	1.153741261108717664e+00	3.646338505945970719e-03	6.181918018326935105e+00	1.464206095298422883e-01	5.993184756254680678e+02	1.055305351862498320e+01	3.160289979101686075e+00	5.009729735612343700e-04	3.714887429643834449e-02	6.285115118270986076e-04	2.237552443823017656e-01	1.933836146821782138e-03	6.446944009349873994e+00	8.478464027804161196e-02
1.679836563176793106e+03	1.042898190124884827e+01	9.982984016792133264e-02	5.994074503721085736e-04	1.283384143301305458e-01	7.571147350711936131e-04	1.160203129238863928e+00	3.188459095245138857e-03	2.417789525047808308e+00	1.465480732917222306e-01	5.811530412596970336e+02	1.133816345611766607e+01	3.311209938566176625e+00	5.432704158883810194e-04	3.638637565969298632e-02	6.821352953562963327e-04	2.204225267291092250e-01	2.102510599593502595e-03	2.290492680268533032e+00	8.965838602740298924e-02
1.251412195745557028e+03	7.150090577843974948e+00	1.138220958875756222e-01	6.998932766610184647e-04	1.598314157630599530e-01	8.583410437290336188e-04	1.124717129752559996e+00	3.252869204966147600e-03	-3.302126431900175851e-01	1.374411111975087363e-01	6.221372114727905682e+02	1.030334872717033434e+01	3.157114332720038163e+00	4.497402317564304667e-04	3.554080477567748975e-02	5.659656458708997107e-04	2.192610879785572009e-01	1.755792813520347818e-03	-5.881844239262621343e-01	7.933857115068425336e-02
1.582652264227574051e+03	1.072595495065091242e+01	1.079183419021648854e-01	7.267875576756954508e-04	1.414796750545827264e-01	9.069213640776044218e-04	1.146554271342515863e+00	3.646081288629060991e-03	-6.279664773783146803e-01	1.732283643124511996e-01	6.231820079699676853e+02	1.196347840589174005e+01	3.277043151595329107e+00	5.354945729572528970e-04	3.637757210619761011e-02	6.707571334125475180e-04	2.159099229395354536e-01	2.051181294122667205e-03	-1.408016546572944394e-01	9.605300356672324957e-02
1.870102571462922469e+03	1.669831507296001050e+01	1.068374275532397583e-01	8.860194030428153109e-04	1.318455904634044384e-01	1.117381964243636082e-03	1.200857064976166511e+00	4.766214899561851612e-03	6.491454095791902468e+00	2.399259795501569037e-01	6.255175988540952403e+02	1.191473625604391984e+01	3.298870709354160713e+00	5.273696423952820142e-04	3.624975191954734471e-02	6.638082940601334461e-04	2.243099032563406758e-01	2.062829305743214565e-03	7.407547063461453973e+00	9.253000125132213038e-02
