# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
1.356647150946985903e+03	7.888097101221428709e+00	5.926842608586112282e-02	5.025083733905602590e-04	1.158624433351809480e-01	6.430851764146887925e-04	1.229167825706971362e+00	2.939460249778954107e-03	6.559212016297576164e-02	9.377962508920793805e-02	4.049307540542278616e+02	7.693264415324546412e+00	6.271008723286922937e+00	6.404876726120603634e-04	4.336104418536888133e-02	7.877946774605611461e-04	2.252260983582278775e-01	2.301322907869799046e-03	-1.162559317881809662e+00	7.504072945456091714e-02
1.738842201175212722e+03	8.654153683323507096e+00	6.651978542164335706e-02	3.805922505062095981e-04	1.031089834155839990e-01	4.921830328796307540e-04	1.207394861444700540e+00	2.331837293589767313e-03	1.769318255988202360e+00	8.806223847336419608e-02	3.996986195002872364e+02	6.581306393307416513e+00	6.294687017172627463e+00	5.793738831629677765e-04	4.542148221204635877e-02	7.156133563190215235e-04	2.440806444255786967e-01	2.119391050514111106e-03	1.488076186470330242e+00	6.427905663964185445e-02
1.547461021899613343e+03	7.160391935931797569e+00	5.430327934621384522e-02	3.615145456355505307e-04	1.052796814647336682e-01	4.668591853467963658e-04	1.226642213622461952e+00	2.217625829942301060e-03	-1.384892001794410410e+00	7.450246683854237773e-02	4.119943309486108092e+02	6.050666608461626517e+00	6.243392038945826172e+00	5.206398885381563956e-04	4.559709620773889222e-02	6.401806862604618280e-04	2.369754857951607840e-01	1.872872043032979992e-03	-2.378214503556927095e+00	6.066362626333826613e-02
1.804195385904908790e+03	1.185654760131873253e+01	7.472173353388081307e-02	5.061776809936331363e-04	1.038809657061558478e-01	6.545901723834533564e-04	1.233551749069191406e+00	3.139311770485016164e-03	7.710844046704144361e+00	1.207549243589756127e-01	3.987953747234546995e+02	6.487466733101098448e+00	6.343998346840896474e+00	5.308415142124941945e-04	4.197120341301948526e-02	6.529900063821758149e-04	2.177613132120309325e-01	1.905254890538589808e-03	7.692144994958526993e+00	6.219949462188772288e-02
1.434132691243324643e+03	7.307323633889732051e+00	4.449988305093260238e-02	3.906060355231033327e-04	1.033842949511117326e-01	5.052039559937867045e-04	1.222928579119924253e+00	2.412985182105330251e-03	-4.695787033372642028e-01	7.421735800828763163e-02	3.915580005799190531e+02	7.962682781674751631e+00	6.228773396905316062e+00	6.775745126237853405e-04	4.328610031683348403e-02	8.440098916653915361e-04	2.478835553970711314e-01	2.557060024279873573e-03	-1.631196750272932094e+00	7.229500143616675312e-02
1.718304100005468172e+03	8.336898651922902914e+00	6.635335554373880673e-02	3.750746573299406218e-04	1.041315264846356392e-01	4.843526235294148548e-04	1.187472234655573278e+00	2.258503388552057095e-03	-1.599534455397119581e+00	8.667197458902893559e-02	3.524059021383556569e+02	6.128811079637940473e+00	6.297096597547967356e+00	5.678917774277002879e-04	4.207765178476713386e-02	7.001462561458320988e-04	2.220141683347701123e-01	2.055601147102282394e-03	-3.277028190547514708e+00	5.813209403684543863e-02
1.486742952559300193e+03	8.462349289215303827e+00	5.933981926263299372e-02	4.508816136760299500e-04	1.065878259185343291e-01	5.811033199294306272e-04	1.194048630809842360e+00	2.693839832220447893e-03	4.690222486186693684e-01	9.067418710363708834e-02	4.253279951963727399e+02	6.887614142600193112e+00	6.278083663016380100e+00	5.579242199438678128e-04	4.455560155378162496e-02	6.907740419428262842e-04	2.435880834297605990e-01	2.058009120463907046e-03	-1.311828006458991280e-01	6.572863651340839219e-02
1.770117790399021487e+03	1.060090817168438626e+01	7.349883535102599841e-02	4.765979881802923047e-04	1.071009042112509857e-01	6.142627776607715749e-04	1.210712730701713147e+00	2.869732174778508779e-03	-1.079820000580346218e+00	1.136384322599165164e-01	3.712418549306378850e+02	6.014007554016389534e+00	6.351917788577115864e+00	5.448376383231735625e-04	4.290153405399267650e-02	6.632601888943784807e-04	2.070519061485206203e-01	1.886678162975907432e-03	-3.286487135719769803e+00	6.145213988034252395e-02
1.679373671651329232e+03	7.816975107337556850e+00	6.834182299298120766e-02	3.680337030624880883e-04	1.064004504724264250e-01	4.744115249231529541e-04	1.194227084624551294e+00	2.201011294853697561e-03	-2.002456113717444863e-01	8.354342766920590246e-02	3.436225705122804470e+02	6.222482140796294914e+00	6.269008858591464950e+00	6.270932966957921831e-04	4.477354083681358426e-02	7.763820547582162392e-04	2.448120832516705869e-01	2.313369611898306779e-03	-1.357024336961711874e+00	5.954692748738413255e-02
1.626655271389103518e+03	8.115026091105033146e+00	6.704256455728296871e-02	3.937528761112437541e-04	1.062073470370700351e-01	5.075694984734800816e-04	1.188693948373327425e+00	2.348954931360766173e-03	2.452862548386457231e+00	8.669198284122631160e-02	4.969200062614635840e+02	8.694725105430592293e+00	6.293258145735390663e+00	5.599603130079331293e-04	4.167612216018257154e-02	6.997500703931003796e-04	2.444683531184487779e-01	2.137458652147742992e-03	1.563842725127143618e+00	7.593362646721726894e-02
