# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
2.101408463107044099e+03	2.542814212471945368e+01	4.167953202841477578e-02	6.052805590654833931e-04	6.874202030708073674e-02	8.145160970622884831e-04	1.074940843976231131e+00	3.854114299626229274e-03	1.203815633229837583e-02	9.284395751160139099e-02	1.981688175321214658e+02	6.159912678544280595e+00	9.428387467487286955e+00	1.895347079067234231e-03	7.823510932908557536e-02	2.324670109745145732e-03	3.959832582925811306e-01	6.712117436458894283e-03	-4.493522065588043679e-01	5.783428847791872301e-02
1.993625286991833718e+03	3.668863043766690168e+01	3.344301205693871182e-02	9.337619729564126687e-04	6.975595061603416525e-02	1.257454961141750470e-03	1.114426250865175660e+00	6.023959027885596347e-03	-5.930684991434511666e+00	1.330136019373723000e-01	1.748284061304276520e+02	7.061259937439860579e+00	9.614755073035441413e+00	2.437862301683924211e-03	7.735450071871982636e-02	2.985990816574932236e-03	3.875480498556062026e-01	8.588177090442176975e-03	-5.020060794692859041e+00	6.637446382433763448e-02
1.951210265497520822e+03	2.721249768335707842e+01	3.704654141244790450e-02	6.793138613530072230e-04	6.697491171493749618e-02	9.151909854479773135e-04	1.071154033597980559e+00	4.372849936809858687e-03	4.348946101821499766e-01	9.602916084532771290e-02	1.639719175940182652e+02	6.484561080627275764e+00	9.522944366139883599e+00	2.638732071374140075e-03	8.485630736250203421e-02	3.200015989962291460e-03	3.989363658529477830e-01	9.017810576870328651e-03	3.662746358550365677e+00	6.708168013415195807e-02
1.574020893661733226e+03	2.691957564834160621e+01	2.777837185733611665e-03	9.580296022616645833e-04	7.692550890572348588e-02	1.287436759585894709e-03	1.196547287047835306e+00	6.131407226852223814e-03	-1.649722517641861685e+01	1.061960547819670447e-01	1.734211477142873150e+02	6.347710744406741767e+00	9.334484517227759071e+00	2.231575768766467550e-03	7.809638386241928021e-02	2.731877106865419468e-03	3.900175079991860527e-01	7.849692420276364185e-03	-1.964825479502846051e+01	6.012162581397084704e-02
1.987857213500243461e+03	3.141433646618008169e+01	4.000773680975216323e-02	8.063560721297766956e-04	7.006043076028192762e-02	1.083825181827935370e-03	1.069654026581990269e+00	5.072094958984397182e-03	-1.024236980055652113e+00	1.182955225954050588e-01	1.809537289131250191e+02	1.042197142454547354e+01	9.414333120800545629e+00	3.255797532695486191e-03	7.333134247205473633e-02	4.050788103209213356e-03	4.120731618794702400e-01	1.213511886745266034e-02	6.499959174450942179e-02	8.752643285856320787e-02
2.131287630126855220e+03	3.367265494353360822e+01	4.169860712948527531e-02	7.824209772073966330e-04	6.805265272417818090e-02	1.053042708499053823e-03	1.065576297989671684e+00	4.982258929970122437e-03	-8.907765670733592822e-01	1.220427310888385908e-01	1.966816324877605382e+02	1.003006905958329753e+01	9.499215679925608669e+00	3.018650699581524547e-03	7.642950819281717212e-02	3.732349650795720088e-03	4.099734937264031820e-01	1.100037756953571415e-02	5.167785069969360601e-01	8.914814809487518754e-02
1.890245390996225524e+03	2.407424225355975267e+01	4.048037832389517893e-02	6.681854825735584385e-04	7.202066267139260736e-02	8.976023686792791115e-04	1.091776675777763828e+00	4.194043327906823819e-03	3.468178010503521480e-01	9.277911437692357155e-02	1.748880073246778579e+02	5.497413176894699660e+00	9.491533298916335681e+00	1.963883318292289262e-03	7.883033680780091035e-02	2.359411195885252090e-03	3.479786357541927444e-01	6.498879260926822624e-03	2.107533416483468258e+00	5.709538525380344898e-02
1.952361012197574837e+03	2.890476319877328493e+01	4.236294172440648043e-02	7.657288285038878076e-04	7.099323023458908866e-02	1.028670749926200974e-03	1.073535140286330902e+00	4.794836337801704380e-03	-1.508126520343478494e-01	1.105912432034269338e-01	1.764009559795345012e+02	6.139723852235960067e+00	9.521154939391015759e+00	2.577433700995918064e-03	9.371667854539145193e-02	3.105970504289250114e-03	4.249795500748631549e-01	8.663233461074396763e-03	8.544163165235059143e-01	6.879366764858567407e-02
2.188083002107634456e+03	3.267443195227608044e+01	4.350987094957851214e-02	7.362042599756796158e-04	6.784089713564092627e-02	9.927169681695584540e-04	1.113028553431032464e+00	4.812228778890783459e-03	1.039732037861353486e+00	1.139660427340535576e-01	1.839408904868197965e+02	6.195647184853714684e+00	9.586007678489783856e+00	2.242063003169035649e-03	8.435574718128177607e-02	2.707363124501148931e-03	3.855915912904187004e-01	7.555178917498212889e-03	1.959560859382002862e+00	6.515786957542610280e-02
2.073535876622593150e+03	3.046445051334698206e+01	4.017404279581360260e-02	7.299430615719575350e-04	6.830328979885554042e-02	9.828630667114185600e-04	1.082417570703632759e+00	4.680912536984095824e-03	-4.730350643795198096e-01	1.096351238817487583e-01	1.886797366841587973e+02	5.747763620969551290e+00	9.462907494495865990e+00	2.009017166664267551e-03	8.361915623740964754e-02	2.427354454559493401e-03	3.834742823463578865e-01	6.780247093236691468e-03	-1.878997370479167650e-01	6.001854140566902779e-02
1.917410810830117043e+03	2.169524488696024633e+01	4.270515194364205014e-02	5.960577774138864013e-04	7.223587631811224929e-02	7.994123288681143774e-04	1.055327642572818636e+00	3.665162514595735836e-03	5.909628425617950015e-02	8.620069137446420560e-02	1.724621366933369018e+02	6.730318309980327207e+00	9.464652466613891590e+00	2.380417365437653785e-03	7.815910524546622329e-02	2.915261056356154706e-03	3.914633437786398384e-01	8.385325188351373457e-03	4.355046535849751294e-02	6.364233210826708564e-02
1.829629994040499014e+03	2.478135752258361180e+01	3.929267124445143256e-02	7.330273904768122616e-04	7.417003766408507281e-02	9.822886834677487574e-04	1.069628691295336553e+00	4.482390786379109558e-03	-7.214141730644128003e-01	1.011528527615263157e-01	1.428318292030328394e+02	5.994306415290878043e+00	9.448252417302970940e+00	3.075754431766434659e-03	9.226588496027732234e-02	3.683065713156285018e-03	4.018532683347655343e-01	1.013050723477442253e-02	-4.768736455065157864e-01	6.846541963683724918e-02
