# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
2.100703965458566927e+03	3.333592815696012934e+01	3.933889294107183188e-02	7.950722628641505516e-04	6.895425389306623909e-02	1.072146103645304311e-03	1.137202395463013715e+00	5.218638156992635307e-03	1.124121252064032017e+00	1.170289619800115172e-01	1.081735045850985557e+02	3.996578258499376979e+00	1.338559039655005378e+01	3.626084014741376427e-03	1.226667997665593507e-01	4.297421329810309325e-03	5.098219553543197335e-01	1.171707327403411977e-02	2.861361194225473081e+00	5.518112373552657574e-02
1.913474321616522730e+03	3.079935971761547009e+01	3.071359929762401339e-02	7.964705831447127168e-04	6.797659282936228953e-02	1.071553064544236104e-03	1.054579356891541142e+00	5.045009937692050347e-03	-8.751634912339037342e+00	1.123612770813682271e-01	7.110574091251031348e+01	2.288988844784075827e+00	1.330622556433326764e+01	4.459143243950035133e-03	1.585334184658964418e-01	4.766480635472347509e-03	4.153554406022426093e-01	1.148841795361427165e-02	-9.855684144320552065e+00	4.827402084058751708e-02
2.070848433023710186e+03	2.949159746003245530e+01	3.700606800308547939e-02	7.210111288932163302e-04	6.957623948304429706e-02	9.701872372879345946e-04	1.089228783559349489e+00	4.597759924341282209e-03	-8.050223014410544664e+00	1.084203819198932550e-01	8.852387517627452951e+01	3.382345935900497036e+00	1.353272175475564865e+01	5.013092377781090507e-03	1.581806536284616760e-01	5.684148649551005843e-03	5.293458708962271997e-01	1.458741150721497466e-02	-8.433674387588988353e+00	6.186403817306410785e-02
1.921889295192585450e+03	3.932790330943704049e+01	3.041648156946308648e-02	1.046436164980720472e-03	7.031786506560167016e-02	1.409115529137808503e-03	1.123996966043609547e+00	6.757140512034168559e-03	-4.769184240451023626e+00	1.432430901489295805e-01	1.172419725162239956e+02	3.820029646610213270e+00	1.344622267495640600e+01	3.117028784014611031e-03	1.198646076557822460e-01	3.706265213125392154e-03	5.072557285177694553e-01	1.015932597473771619e-02	-4.131239154937778935e+00	5.144505446206917160e-02
1.857058707502480274e+03	3.964093549006504702e+01	3.198218058033153177e-02	1.082384943958532905e-03	6.965843525946502357e-02	1.456190012790727680e-03	1.086257229377291633e+00	6.887058612195804189e-03	-3.905010619566708474e+00	1.463132527829463236e-01	9.444253757448133513e+01	3.423814362930635458e+00	1.314710176769361816e+01	4.439098572754682052e-03	1.515249934203601601e-01	5.191174209444098138e-03	5.917759516282312671e-01	1.395334459559381159e-02	-3.995560166937150104e+00	5.550633727199275058e-02
1.817715253388162637e+03	4.021219099920385531e+01	2.859987784581784903e-02	1.093100084715343742e-03	6.795372691556376965e-02	1.472947227981102588e-03	1.095914334482928743e+00	7.076637481981154845e-03	4.418922126562056185e+00	1.423024155627515830e-01	1.207138301090754879e+02	4.592011180717915586e+00	1.328327092230431816e+01	3.557909785262363105e-03	1.189233972774778880e-01	4.307851819933074256e-03	5.640471562625155588e-01	1.228037202633050842e-02	5.531651037117919500e+00	5.699648566316870696e-02
2.032882161066577055e+03	3.599845103497131760e+01	3.758770017281323761e-02	8.757955646844995312e-04	6.795645529871184587e-02	1.178582716805692777e-03	1.060869359426618752e+00	5.566876447027678011e-03	-2.014249748017323149e+00	1.306624081760764944e-01	1.300983321271512807e+02	6.455485639472067660e+00	1.325723854696822457e+01	4.929870838249268000e-03	1.285758634902284259e-01	6.100331677872137398e-03	7.182823704411871457e-01	1.852686878293583958e-02	-2.973670183102460118e+00	7.474552988965411926e-02
2.033317898188085110e+03	4.312777890400727898e+01	3.280658528508750144e-02	1.001445430482462724e-03	6.497756238429000519e-02	1.351247692487997582e-03	1.073125811436919541e+00	6.550589283051870028e-03	-3.482845170858317907e+00	1.455811957376741683e-01	7.278955141468935608e+01	2.890243295598720064e+00	1.322630158987643512e+01	4.466290276544718912e-03	1.345204150200589588e-01	5.024015541435393646e-03	4.305671163203125262e-01	1.268299941727388420e-02	-1.893997947466387055e+00	4.959899855152563597e-02
1.257648723009869855e+03	3.165416467663454370e+01	-3.898485054645813713e-02	9.532504912796228814e-04	5.252176997574508482e-02	1.301567990335685421e-03	1.178611488287078846e+00	7.311043957816698927e-03	4.489832787780357465e-02	7.316757867070780574e-02	9.473953332559982243e+01	2.875292407948105033e+00	1.331345815504448282e+01	3.320000327938419076e-03	1.334891690530656816e-01	3.822887257912356909e-03	4.770960731034181168e-01	9.959306550617727863e-03	8.446333128178040717e-01	4.589902417540203672e-02
1.726213615003320683e+03	2.997824458415996318e+01	1.842965436793124814e-02	8.281184790477500108e-04	6.569480012157552506e-02	1.118982573013069639e-03	1.129914345703332046e+00	5.547106156675730114e-03	4.734012711871422585e-01	9.873393657233868470e-02	7.539667123491784650e+01	3.028598945264074693e+00	1.337687479229733789e+01	4.691160134947554641e-03	1.415617347850389729e-01	5.358794228708421183e-03	4.880169753837452218e-01	1.383183525223641991e-02	2.537265141078577813e+00	5.110733052036095514e-02
