# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
1.849570822325857080e+03	2.347195280124349281e+01	3.268021842807518340e-02	6.352592848685526808e-04	6.880611846111145402e-02	8.552463606810434531e-04	1.088356629184979107e+00	4.071375271713382170e-03	6.351902401767858808e-02	8.499900102026032578e-02	1.494468040263090813e+02	4.886760492333722006e+00	1.035666953400574286e+01	2.540625918078709324e-03	9.683313530951653814e-02	3.004918237341709306e-03	3.930460378163952995e-01	8.084843676605642585e-03	3.038534208800373060e-01	6.012280731822485652e-02
1.882689446449722709e+03	4.074051706755044933e+01	2.557821136811979160e-02	1.080640070355960540e-03	6.873208454166246373e-02	1.457875436374819929e-03	1.145972357036530109e+00	7.135125190723098747e-03	-5.016681492620771010e+00	1.415514205162199390e-01	1.290010892870438113e+02	3.960456780988545145e+00	1.051793100849564588e+01	2.626916737506949148e-03	1.041256483919997949e-01	3.019285845870392851e-03	3.646277566782815671e-01	7.776810093298174194e-03	-3.424838559078448252e+00	5.583359494434737835e-02
1.815125019557221776e+03	3.308437183432769757e+01	2.184515999205709214e-02	8.669565364799606058e-04	6.552233500996988702e-02	1.171385647126779077e-03	1.124255317475583604e+00	5.798185928364309877e-03	-7.539627916501389082e-01	1.089842700068159587e-01	1.315070788737318708e+02	4.651946006752522678e+00	1.045645714804325443e+01	2.681557345495085877e-03	9.584192515514330935e-02	3.227244778544737566e-03	4.315372266680454483e-01	8.984228938579377766e-03	-8.951537793788987285e-01	5.303276185780703145e-02
2.054246914669792659e+03	3.918019200511685085e+01	4.434657773055208224e-02	9.394647523178667383e-04	6.771520124961291631e-02	1.265234584582888887e-03	1.076369777820872953e+00	6.031094156897011740e-03	5.421924830513182414e+00	1.399048463653663754e-01	1.812616083329619983e+02	6.589454298746191263e+00	1.050915542545131842e+01	2.656590372859458492e-03	9.395847318807970527e-02	3.264424262983205670e-03	4.868551977859087443e-01	9.547532503989600988e-03	5.963971793017707412e+00	6.731692863005717120e-02
2.007442419085874008e+03	2.696191926851388487e+01	3.460908189908299543e-02	6.731566343802438150e-04	6.894257807755869993e-02	9.071034076718572422e-04	1.116500465305903855e+00	4.372853098337765344e-03	-2.594944550488380575e-01	9.598519694621940324e-02	1.504416128727975490e+02	4.823756882438237525e+00	1.045279625916924893e+01	2.190576448445222431e-03	8.603016736687453536e-02	2.624503704768160750e-03	3.747352191813607125e-01	7.208855234808369920e-03	-7.493168685801926410e-01	5.302240442410793148e-02
2.053256472001255133e+03	3.292135311287105282e+01	4.722258388274609697e-02	7.988894449287662486e-04	6.846526142845869856e-02	1.075156106459636751e-03	1.072283728977613704e+00	5.089783512604607700e-03	7.158615612025617025e+00	1.197634204464567559e-01	1.677444945140272807e+02	6.641889228523130129e+00	1.058067196912668706e+01	2.765611586326697981e-03	8.865291226480008502e-02	3.345282828663672606e-03	4.107003866627970678e-01	9.388093015287878734e-03	8.800577529203604144e+00	7.111028964630006222e-02
2.085985288526690965e+03	3.203130874422787144e+01	3.844337405674036479e-02	7.602622946903327301e-04	6.811773493145879821e-02	1.025080610311430995e-03	1.116624935485792669e+00	4.968353261581372887e-03	8.600961533691946492e-01	1.121026260970132415e-01	1.568109361646706645e+02	5.926390753416979962e+00	1.062072795276991677e+01	2.784775974449724655e-03	9.254572564857881101e-02	3.324904307083911305e-03	3.960592938138894903e-01	9.092833329571316237e-03	3.047525915894907733e+00	6.862003190791170215e-02
1.970053684752629806e+03	3.130371978079863737e+01	3.657291795720599842e-02	8.135408618564441427e-04	7.032557626378659055e-02	1.094058086429613216e-03	1.088296241566010014e+00	5.157646632157817518e-03	-1.036539132968443022e+00	1.169331068989546141e-01	1.404124131418411139e+02	4.286320480535776412e+00	1.046915831417083531e+01	2.573858338099263912e-03	1.037736414514096872e-01	2.998049554993084502e-03	3.887136443641907024e-01	7.877571581977275278e-03	-1.578514033964804053e+00	5.775747243212139143e-02
2.049388541374334636e+03	3.244593371001158033e+01	3.271220715196052758e-02	7.722747289323397130e-04	6.716942647551063517e-02	1.042608220036561877e-03	1.134588924208686400e+00	5.128452406312875196e-03	9.632599530220714579e-01	1.099399626308967398e-01	1.698423311492016978e+02	6.060293157266076314e+00	1.045896228407265127e+01	2.622736863068866452e-03	9.241632925871841320e-02	3.135809238514524356e-03	3.988542617616505082e-01	8.599169893100160056e-03	4.178490020010625194e+00	6.971930961386410552e-02
1.987336268614035816e+03	3.119519464393066244e+01	3.974494551855874136e-02	7.846079763073720691e-04	6.865866970104539391e-02	1.055048737827392986e-03	1.054215703335018572e+00	4.944666682165505846e-03	-1.225181647997556578e+00	1.154403436885696466e-01	1.447252655531866594e+02	6.938561618588894753e+00	1.044723950506677745e+01	3.691172371714872367e-03	9.732630997859263722e-02	4.440514328419831701e-03	4.373908451822781651e-01	1.235876432258487673e-02	-2.360421768004402399e+00	7.987028365964395082e-02
1.998544873940689513e+03	3.360456107816360571e+01	3.681848178711248643e-02	8.133406609818543895e-04	6.651031812117427777e-02	1.095531896166136374e-03	1.056574558219885995e+00	5.213599236516171416e-03	-1.125201194414019445e+00	1.186708055796445865e-01	1.776908445841864079e+02	8.564597504873415090e+00	1.044635616263877331e+01	3.581095468099013395e-03	9.562731094963210221e-02	4.406946798780449030e-03	5.015388654872500185e-01	1.295260298047321880e-02	-1.654675024943895068e+00	8.761286117353479785e-02
1.788821305005785916e+03	2.834214507647746828e+01	1.593317201141984663e-02	7.630843800697097818e-04	6.632132010896636676e-02	1.030147656981357258e-03	1.115125375974306943e+00	5.049691213070355879e-03	-7.522007171270181480e+00	9.557997340488269544e-02	1.410167853662464950e+02	4.233231762467545067e+00	1.031199967209908230e+01	2.405092092570272795e-03	9.901686442187158932e-02	2.815858144983690494e-03	3.803426484263026097e-01	7.449203853184643322e-03	-6.641316723571474512e+00	5.468790790855064532e-02
