# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
1.203667847513796914e+03	3.671730332434993471e+01	6.421567700011508728e-02	2.802443350313816098e-03	1.221910265544772223e-01	3.549615945120094488e-03	1.096330319685046684e+00	1.468228848966247196e-02	-9.542330391623472963e+00	4.950573286886566504e-01	5.422599786737526983e+02	9.844385752466420669e+00	3.382500005839541135e+00	5.201811851171330879e-04	3.731276010067331728e-02	6.502427349178820700e-04	2.180001037876669046e-01	1.977713066894727038e-03	2.468473448292112238e+00	8.109434281002193823e-02
1.212917496038326362e+03	3.098997712698460916e+01	7.474846141086155527e-02	2.277612581013850352e-03	1.175351651402876396e-01	2.859404110510583609e-03	8.837968868770011976e-01	1.054286906233394341e-02	-8.698425121844037378e+00	4.433035604737473045e-01	6.171636917383182208e+02	1.138082024492685029e+01	3.373674733237249868e+00	5.101020800012188820e-04	3.610533132325600969e-02	6.396740127500215398e-04	2.162708615046009253e-01	1.962680762976537052e-03	4.371277884370599942e+00	9.037715844356210282e-02
1.331838507429593619e+03	3.214009136670493660e+01	8.311009539168068283e-02	2.410424302365758720e-03	1.315664039595797197e-01	3.011714666539192300e-03	1.004383089612493674e+00	1.145226788035634199e-02	-2.339076027148182746e+01	5.003778144386770155e-01	6.521344040795116825e+02	1.074328773118701186e+01	3.434679006966678383e+00	4.432892789232072074e-04	3.520626901237701445e-02	5.576786237886687588e-04	2.165096776175272075e-01	1.727558702995170238e-03	-1.978816419221662182e+00	8.249409243658484270e-02
1.522913108776921717e+03	4.257276400064814226e+01	7.699629279767461476e-02	2.567533679628541694e-03	1.223265517022830290e-01	3.255479808951209763e-03	1.122632242120994217e+00	1.367224405271958224e-02	-2.231070870320230171e+01	5.683167092083211136e-01	6.065310721855810243e+02	1.076162863341850695e+01	3.394032961229950907e+00	5.073324167944148321e-04	3.722418297086932393e-02	6.340758054923159711e-04	2.171796422819256001e-01	1.927328534260864135e-03	2.020674353134764178e+00	8.863674969012719229e-02
1.490414483266882826e+03	3.490047858084708565e+01	8.822493950495921555e-02	2.253939708921029461e-03	1.275179756557766608e-01	2.837339197366236555e-03	1.068405937954250762e+00	1.134839651417598669e-02	-2.046729806680075470e+01	5.050722726214333935e-01	6.374179721120297017e+02	1.083513330740705882e+01	3.409484649993988814e+00	4.500621352634165580e-04	3.469179942125245192e-02	5.672234514309307772e-04	2.165804408560103311e-01	1.766871649539971442e-03	1.129662214673835985e+00	8.159114780883108820e-02
1.332053449051208872e+03	3.919914657472831720e+01	6.310769767214249870e-02	2.581229353523199852e-03	1.165187609776671129e-01	3.270084190849364882e-03	9.985710899748556635e-01	1.299492996212980520e-02	-1.829398492010634314e+01	5.187792442885726940e-01	6.151428511506036330e+02	9.284369394211029913e+00	3.442948484303740564e+00	4.164131089242717010e-04	3.604469899044038944e-02	5.227784539388372585e-04	2.179780507757634045e-01	1.609887598356804809e-03	-2.180653184950314127e+00	7.313303925955047524e-02
1.447170006700828480e+03	3.474888131407571024e+01	7.883617070762398427e-02	2.323284310125362136e-03	1.281193825941713271e-01	2.922533667632963832e-03	1.065304195220264871e+00	1.164613219065086316e-02	-1.907140957099620593e+01	5.068547379958703303e-01	4.991619640378665963e+02	9.389846875705162077e+00	3.378600795280488178e+00	5.265653590722670346e-04	3.669005905246967847e-02	6.639476552478827719e-04	2.307783219468090286e-01	2.076982757132876580e-03	3.500652539559341747e+00	7.252928193094260179e-02
1.339912331104127816e+03	3.780970261844842639e+01	6.280017581773356117e-02	2.537950728489637292e-03	1.196777821260280456e-01	3.218267859117076874e-03	1.071647027003675534e+00	1.322678879251859910e-02	-2.263919986984892319e+01	5.008619600789349091e-01	5.666088585663999311e+02	9.254258740718269038e+00	3.424515838707039794e+00	4.443288210144372271e-04	3.561955073345599715e-02	5.594395105354934465e-04	2.207554106278911132e-01	1.738741304422948900e-03	3.414415421870474532e+00	7.110089997875530810e-02
1.285030320050873570e+03	3.260536020468568097e+01	7.321876438745636428e-02	2.535491696059710698e-03	1.320562608292861484e-01	3.178714339266266141e-03	1.069415006849436356e+00	1.254850298767674378e-02	-1.410506866865316056e+01	4.947489796287859454e-01	5.993471642388510645e+02	1.013111591431572478e+01	3.349626237896767833e+00	4.860175006081168553e-04	3.747680977193468266e-02	6.083165595869799653e-04	2.213777275264739441e-01	1.858150613276910194e-03	6.869867638987301461e+00	8.298289816252280016e-02
1.265781285601386344e+03	3.278961090064993300e+01	9.778802772623858275e-02	2.490585070567641595e-03	1.263262579205238767e-01	3.107868554812680782e-03	9.173698887523963341e-01	1.138249221259085738e-02	-1.974985006720051928e+01	5.065422575519842319e-01	5.754524265202146580e+02	1.010798254645650474e+01	3.425944492573441913e+00	5.026866308203473653e-04	3.727481838638845024e-02	6.285597727441084989e-04	2.183060064430795977e-01	1.913469188045014563e-03	-2.027197095836316798e+00	8.307135543127237842e-02
1.221713577677082640e+03	3.273796157805541185e+01	8.571736731455302516e-02	2.346613700269885913e-03	1.156218566802690029e-01	2.950895141682959889e-03	8.799207939237739806e-01	1.092347138249844321e-02	-1.056614910685239828e+01	4.590451124854784126e-01	6.314390377158294996e+02	1.200768062679141046e+01	3.341186012803105232e+00	4.968323163872240397e-04	3.447440791606247446e-02	6.319823723118158255e-04	2.344554138271503496e-01	2.036201632110794333e-03	4.068989874641236959e+00	8.443596265648153909e-02
1.178695613819210166e+03	3.093153855959253207e+01	8.598203750367551523e-02	2.389740211634597440e-03	1.198741142713336399e-01	2.992820684928657830e-03	8.829263920388444875e-01	1.094530851587541265e-02	-8.422035528173331898e+00	4.546327932572022945e-01	6.102018255255003396e+02	9.831218219909441558e+00	3.376197537549773919e+00	4.346239177937375776e-04	3.523839947496824887e-02	5.456270126228942923e-04	2.127981862706252725e-01	1.678414913678770047e-03	1.763449664939661599e+00	7.656675759600679865e-02
1.352035625907858957e+03	3.755946043206739660e+01	8.497920771154003627e-02	2.388639398131562133e-03	1.143242173939043177e-01	3.031027607607309892e-03	9.907490823313651607e-01	1.207819357088073253e-02	-8.772978566519217480e+00	4.862912264344453339e-01	5.735830238988571637e+02	8.807001406398283549e+00	3.453304465231984643e+00	4.229647565829374790e-04	3.591225762692340506e-02	5.296167261036996334e-04	2.123770743583684173e-01	1.616824187987871793e-03	1.347332201949214214e+00	7.040331374983418988e-02
5.709438636960371696e+02	3.015352576260302087e+01	-6.198381163450208953e-02	6.370056189064837379e-03	1.582436483435317176e-01	7.855232781555789023e-03	1.217032212400835478e+00	3.151908960155567346e-02	-2.183076651025994153e+01	5.539477706881562602e-01	5.705359376436674665e+02	9.264158897215239108e+00	3.208340210130395054e+00	4.510234705053824253e-04	3.619683966353902382e-02	5.644039781444568126e-04	2.130461518368997609e-01	1.720233741196164822e-03	5.873336000669659995e-01	7.464091895912160213e-02
1.179238846680283586e+03	3.455368978017548187e+01	5.794450543700054024e-02	2.650472366193416373e-03	1.197920659935386989e-01	3.342820411400650778e-03	9.763942222079280420e-01	1.296169526756109185e-02	-1.501283414921941883e+01	4.805271990022786377e-01	6.178528520387319531e+02	1.041223592909424944e+01	3.307821128998391647e+00	4.725864839867292117e-04	3.661488902811128876e-02	5.927706260300623755e-04	2.199274490422471751e-01	1.821344507612837312e-03	3.100229579401656554e+00	8.314895111856639154e-02
1.342745736444676595e+03	4.333878528265712760e+01	4.130957387911645545e-02	2.608743510581622727e-03	1.079884995270452286e-01	3.334027715114607545e-03	1.011464985444245457e+00	1.376993827542020293e-02	-2.343636303258181997e+01	5.131431528641200446e-01	6.440870549660153301e+02	9.651848107320599723e+00	3.445156286299684290e+00	4.010244973239429200e-04	3.511696696285068059e-02	5.064450513658015933e-04	2.234281771741337408e-01	1.589726709471883442e-03	6.069261335204531038e-01	7.213622805178049324e-02
