# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
2.324883791678525085e+03	2.027850034036154980e+01	4.942595228661755824e-02	4.425385951280763467e-04	6.934748906305503169e-02	5.872821325360888262e-04	1.054751316892486912e+00	3.008607793349448150e-03	2.903735806200580249e+00	1.261192467504256565e-01	3.018162696352334251e+02	5.468330048445411151e+00	6.375111300724964458e+00	7.968442956139649503e-04	5.580472741296483435e-02	9.624832512419331625e-04	2.594617396541176735e-01	2.719942884113384866e-03	1.849630310530233857e+00	6.638285243757428844e-02
1.915614698873056795e+03	1.830501917857624505e+01	3.508976369890033642e-02	4.784730200706256470e-04	6.846742602257133159e-02	6.355102189944632348e-04	1.056437189125169152e+00	3.277601854562927144e-03	1.975045174066510700e+00	1.117062515149633839e-01	3.346194631132327117e+02	5.409029640668123307e+00	6.351272875654382588e+00	6.772133460176269545e-04	5.371769532079252035e-02	8.288389544351994209e-04	2.727500355061034942e-01	2.415067049884981037e-03	3.394355631754772951e+00	6.045040187490128419e-02
1.963396761472893331e+03	1.918842587782863518e+01	3.565181353876350351e-02	4.929144631167830994e-04	6.892306023340287469e-02	6.541212095990490754e-04	1.040864272340995100e+00	3.330568180539739739e-03	-3.712413548628444193e+00	1.191971642761562866e-01	3.494553172935118823e+02	6.942921434011097404e+00	6.365643003766378705e+00	8.514211277503272359e-04	5.510857958502241027e-02	1.045743963785003431e-03	2.876642251220525859e-01	3.080876435079552868e-03	-6.190833880005567558e+00	7.721100144448786451e-02
2.030252035971644318e+03	1.876121769036670273e+01	3.915117260675429756e-02	4.632383400252193376e-04	6.852317807507896097e-02	6.150156895994358290e-04	1.043480803096185738e+00	3.144712752090714821e-03	-1.573655624144818965e+00	1.154182557483224847e-01	3.155572679761407926e+02	5.840667796113103272e+00	6.334428463035035151e+00	8.609600552863006266e-04	5.953715073814495190e-02	1.050807808837427330e-03	2.985720877735242307e-01	3.057720839603314273e-03	-2.911140643788489246e+00	6.981468482313105128e-02
8.996475854960884817e+02	1.791217444143046933e+01	-7.159906892029503644e-02	9.141459426723144450e-04	6.305939080642410099e-02	1.222797012827734828e-03	1.152689070211876610e+00	6.950297096343642511e-03	-1.501495032224995807e+00	9.273216336445565255e-02	3.212661171333052152e+02	5.313016868326917219e+00	6.184707783923308888e+00	7.271428442960440599e-04	5.591359322069429372e-02	8.806444175024812429e-04	2.646614667643417684e-01	2.504742182590011159e-03	-7.648006771201256715e-01	6.377804603353573465e-02
1.948825468707726941e+03	1.739015374181858675e+01	3.415419105752904444e-02	4.438508496151911085e-04	6.804327811664347136e-02	5.899240115760191402e-04	1.066867875265583576e+00	3.071072626887308334e-03	7.291844517382281010e-01	1.046159251276938817e-01	3.583393135312906566e+02	6.393841135022497291e+00	6.368111384395191976e+00	6.761754321435568295e-04	4.915509121877521814e-02	8.400589053864988181e-04	2.779492501587563780e-01	2.542066569592420049e-03	1.881545650038497941e+00	6.293236017520148495e-02
1.718754891353276435e+03	1.473489718118278624e+01	3.279081787843721174e-02	4.691487985190542255e-04	7.459711308217382986e-02	6.197531758722522139e-04	1.063400445121625904e+00	3.091620949338911521e-03	-1.384286572546719274e+00	1.012021646267069891e-01	3.293064834887823622e+02	5.780502111075528582e+00	6.343578469379206553e+00	7.612495861911094085e-04	5.585232158346060960e-02	9.367502908523897814e-04	2.959710581706140875e-01	2.776635966164265300e-03	-1.176580739593117375e+00	6.409487285825132830e-02
1.991654686503942912e+03	1.856466318447970210e+01	4.250224350216284808e-02	4.623726533705283187e-04	6.782232556518802413e-02	6.141892332004589544e-04	1.039295372037076559e+00	3.146341578009033413e-03	6.405824240999430152e+00	1.128083610180689450e-01	2.974221225320851545e+02	4.284054669476764055e+00	6.459244819909816471e+00	6.410242212015418049e-04	5.626551648788796073e-02	7.708111520670614608e-04	2.542416532129623263e-01	2.157149239684696702e-03	7.553494348466589514e+00	5.327598349005017997e-02
2.051822582459097248e+03	1.937058393496817033e+01	4.033811143847725045e-02	4.814811991511988077e-04	6.971115339972981662e-02	6.390032831354240358e-04	1.069147370663948715e+00	3.295873800652269689e-03	-1.079578433542666804e+00	1.204750143178774657e-01	3.157910223557307745e+02	5.702809354995121538e+00	6.339997864474732125e+00	7.268784601818881761e-04	5.180376671351371448e-02	8.939428773021904214e-04	2.718338720605763537e-01	2.633889894609275483e-03	-4.781777837816913457e-01	6.100241436967330372e-02
1.736177649281384902e+03	1.663382212463592325e+01	1.642646370363833042e-02	4.319647635526967233e-04	6.183634349802486635e-02	5.769262570753259370e-04	1.035376109009683354e+00	3.071696998089996997e-03	-1.876265126395089688e-01	8.879418468751591742e-02	3.294769880026345845e+02	4.191628323165436321e+00	6.284416594033506165e+00	5.152370047895678176e-04	5.164975741923886338e-02	6.264950120238431007e-04	2.498718233616729623e-01	1.791772441223483817e-03	-8.504815751269168000e-01	4.739680211699828782e-02
2.008778179850071410e+03	1.801217187267663888e+01	3.808749283371076766e-02	4.535549704331784241e-04	6.915549456459951783e-02	6.022068432617578258e-04	1.066768402307510133e+00	3.112430006400757759e-03	-4.668528189702086384e-01	1.108940844894658051e-01	3.125123730166822043e+02	4.595969451489671620e+00	6.384265413853913884e+00	6.387520475691815846e-04	5.511102069664208097e-02	7.715665077991467041e-04	2.561067292559116582e-01	2.179290664054518364e-03	-3.325360074108542063e-01	5.541886246392920684e-02
1.801908609060343906e+03	1.752173355913620512e+01	2.935836149498839004e-02	5.014127610113786049e-04	7.044263998006157490e-02	6.648649729254580082e-04	1.061407708423936835e+00	3.396898222773777915e-03	-2.056049135980861031e+00	1.110518243707663555e-01	2.661493779707324734e+02	3.603595434109435836e+00	6.361771757037881336e+00	6.909420054965789400e-04	6.362508058337194849e-02	8.162865980945394409e-04	2.603005720103285792e-01	2.216532656683672942e-03	-2.596645701579325394e+00	5.133289664507155459e-02
2.001894554561040422e+03	2.019131466247924678e+01	3.550363058906415292e-02	4.976033765241128859e-04	6.749166794450833784e-02	6.615183652390923793e-04	1.056812891366210927e+00	3.434244088831501108e-03	-9.757801148764155830e-01	1.207052195890107038e-01	2.719652612744490057e+02	6.576528287679749951e+00	6.374629987194503578e+00	1.063671588037474591e-03	5.617896174891279237e-02	1.295003352759190431e-03	2.756675584294577264e-01	3.731678233507504557e-03	-7.735174249810916614e-01	7.720223522682767570e-02
1.773173846429534933e+03	1.896140906630236245e+01	1.006254687137642795e-02	4.754870386519908653e-04	6.104541387699214533e-02	6.358945898765306715e-04	1.058140254404300373e+00	3.455455670998858544e-03	-7.212236152604409867e+00	9.813791152277202834e-02	2.708565920664009923e+02	5.036039145583583121e+00	6.333301562464975554e+00	8.609093772176943434e-04	5.863370851954741864e-02	1.036977511560816185e-03	2.685794827692001285e-01	2.919349034784678078e-03	-7.160433226842684462e+00	6.351010995987825536e-02
2.140569242808445324e+03	2.216690091011868802e+01	4.129263035403921839e-02	5.098414015667090569e-04	6.736172063108122887e-02	6.778180896582930047e-04	1.053919803745020589e+00	3.515491076239923591e-03	-6.500261645077001216e-01	1.323405320371069671e-01	3.348964097857336242e+02	6.475826604622934468e+00	6.355133834222135292e+00	7.866549388746848321e-04	5.250268365867049453e-02	9.706840361713782624e-04	2.827637512142182619e-01	2.889275992468059735e-03	2.027977569489040205e-02	6.851726462650155336e-02
1.889056807221554209e+03	1.653342664518290661e+01	1.959598900364800667e-02	4.235383478167237693e-04	6.628833531414488056e-02	5.641336539507513801e-04	1.088087529228387140e+00	3.011209239259108120e-03	-7.796763830606066037e+00	9.479237661175478336e-02	2.701844301961477868e+02	3.590691347966763924e+00	6.361509920197295997e+00	6.181180998489949237e-04	5.792042478417536860e-02	7.297250133205750817e-04	2.347166126087895099e-01	1.970326229669664472e-03	-7.575984654179593214e+00	4.883169338347382454e-02
1.797686861630847943e+03	1.589147563990580103e+01	3.447855780791025254e-02	4.768588016642500457e-04	7.359290566647727627e-02	6.306503784374500659e-04	1.070349888300373697e+00	3.178619453726373029e-03	-1.940501789571102531e+00	1.066770442635960187e-01	3.392827310125011309e+02	5.910226695088040216e+00	6.297717209925641768e+00	6.977499148376377228e-04	5.175824113953229194e-02	8.625195781350367651e-04	2.823602032491560609e-01	2.578684069217455910e-03	-2.631378975181576152e+00	6.146795588261684540e-02
2.215470118244884816e+03	2.100505487164423357e+01	4.631284173886995176e-02	4.751311785616998246e-04	6.852837520593055287e-02	6.311056829749772147e-04	1.060277671195857696e+00	3.261485175821354169e-03	3.670020680892829290e+00	1.280837719586855050e-01	2.539062594176238576e+02	5.607143592321945036e+00	6.412292762693045489e+00	8.376569578471348239e-04	4.972843056271108314e-02	1.055020979209944079e-03	3.163988779344142910e-01	3.345562783714097366e-03	3.345275194022504284e+00	5.097426993777402077e-02
1.850669159771953218e+03	1.865887645284170304e+01	2.666459557383429532e-02	4.869182691848400837e-04	6.610876617995407878e-02	6.480430510385990764e-04	1.051565761301539892e+00	3.384054557635369793e-03	-2.382002341052312122e+00	1.086051886575700592e-01	3.255892999107543915e+02	4.842808890888866458e+00	6.297127040147984189e+00	6.410630449126783785e-04	5.481688907154671359e-02	7.765866637642225220e-04	2.595442728967090051e-01	2.207744151060402667e-03	-3.007462518015341146e+00	5.747294221294584060e-02
2.102902690087927112e+03	1.949141743066049415e+01	4.564643277648400971e-02	4.607745049266540396e-04	6.798000106677153098e-02	6.121355350038782013e-04	1.048209964943354056e+00	3.150490659047215820e-03	5.894628290591760411e+00	1.182589922213993228e-01	3.203677704377089981e+02	5.143503635698981391e+00	6.375143122725464018e+00	6.822823553705652071e-04	5.428967974760565834e-02	8.311496865239606123e-04	2.668673471724062884e-01	2.394101701546391767e-03	5.562154932332226132e+00	5.915221986122753961e-02
