# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
1.971944493998139478e+03	1.995089433016631730e+01	2.635470494257318233e-02	5.068694291853277547e-04	6.854588614579930350e-02	6.737292846199532297e-04	1.087048446937083801e+00	3.540756865992429614e-03	-1.089562465368743815e+01	1.200460621341198769e-01	5.019088439134549162e+02	7.802953431068174517e+00	4.037937837866993007e+00	4.748101285214100290e-04	3.966712269840197425e-02	5.914237605134152562e-04	2.259011192539896185e-01	1.784025630805985202e-03	-1.192482311682461216e+01	6.775876400055899640e-02
1.839084321329031127e+03	1.506595494458969497e+01	3.237151222401733058e-02	4.284900080591991537e-04	7.146452339209577453e-02	5.680449292541643646e-04	1.087076396046041671e+00	2.930886968949650284e-03	3.832607342959937213e-01	9.619059490142899127e-02	5.473548338523041821e+02	9.509180431479142825e+00	4.067709529525036949e+00	5.368827059652564416e-04	4.015477152933721178e-02	6.690893443903841477e-04	2.298099319314067801e-01	2.022698066565117858e-03	2.503773575663724937e+00	8.283565719150132178e-02
2.001032558046852273e+03	1.712986090406757711e+01	4.068033389838217329e-02	4.407607170385639426e-04	7.036513448584988395e-02	5.846668053201858244e-04	1.072465801438197586e+00	3.009565098153582988e-03	1.346903161535412341e+00	1.077718852507510705e-01	5.208943675292401849e+02	9.569954310713931989e+00	4.067855585079731107e+00	5.379556296382498586e-04	3.823946889038192659e-02	6.748988335962116452e-04	2.306721239806411305e-01	2.079315593515424290e-03	4.240594743107138243e+00	7.803467302854501242e-02
1.985774678440759317e+03	1.632317453373009286e+01	3.863127349454989479e-02	4.519087394601175385e-04	7.496131875804162847e-02	5.971047279639788048e-04	1.081851917393894302e+00	3.006850122383324976e-03	-9.131321922743781627e+00	1.118346482241096007e-01	5.532176145675730368e+02	9.319090765104256491e+00	4.046153574226337923e+00	5.199118525627146161e-04	3.993071907226473233e-02	6.444009892696512740e-04	2.187381927436483908e-01	1.915963692332640347e-03	-8.776862820273610311e+00	8.356794251057410305e-02
1.982632875370654119e+03	1.736753767004536186e+01	3.623229460969502186e-02	4.460503340445686718e-04	6.962583192739442428e-02	5.921616588464176465e-04	1.077409712255821717e+00	3.072000635502364786e-03	-6.198776564909254105e-01	1.073642622717208700e-01	5.465883390539472657e+02	1.075259413830989352e+01	4.094439744049379826e+00	5.642966157116876278e-04	3.739779657896472043e-02	7.064852300728826978e-04	2.213869878293965032e-01	2.159692012499160509e-03	1.698079463220498520e+00	8.782867837871115302e-02
1.806734678368238747e+03	1.648375265994027572e+01	3.437971227119310247e-02	4.912846937507925251e-04	7.346235063063909221e-02	6.497332885107066393e-04	1.066509221332766044e+00	3.269482880457048185e-03	-2.182377277377679281e+00	1.105909445315500506e-01	4.597597810782893930e+02	7.876121146772643300e+00	4.049762729496495517e+00	5.245388049227514560e-04	3.972551819212334634e-02	6.525776596508175813e-04	2.240912123595602545e-01	1.961424169495887618e-03	-2.962903558250189029e+00	6.893798387095956270e-02
1.806958024632388515e+03	1.878546696988460241e+01	2.485258124232397198e-02	4.958643348839235918e-04	6.529322820027264052e-02	6.600092950794036496e-04	1.027957949682355876e+00	3.413706235662341062e-03	-1.760241800652603050e+00	1.088092205978056920e-01	5.757114811615449526e+02	1.026474521752656699e+01	4.036704978406245203e+00	5.497969583929261835e-04	3.988878278245663184e-02	6.813780045197529063e-04	2.183490758572105839e-01	2.025266309631670522e-03	-1.119392050012476325e+00	9.204876929618352466e-02
1.941140244271022084e+03	1.513353233214550109e+01	3.980526329864801649e-02	4.168731116163943004e-04	7.296992786924365315e-02	5.516177247939963195e-04	1.069369330733820789e+00	2.788910953371022232e-03	-5.946147450342316176e-01	1.004205109496333348e-01	5.235264318065619591e+02	8.076358742091999332e+00	4.044913170340526776e+00	4.564123698108778909e-04	3.852756980713527984e-02	5.705277171124434636e-04	2.255131247314311471e-01	1.737791942161680736e-03	4.039258951593207581e-01	6.762946895694604832e-02
1.940898440139555987e+03	1.580620134819974965e+01	4.190912294195891369e-02	4.354157514958323372e-04	7.295470036906973044e-02	5.760731319460684089e-04	1.064073113624656397e+00	2.903132260214216602e-03	-1.877262236870833600e-01	1.051385955524232474e-01	4.992108305319438841e+02	9.490837188810361980e+00	4.098534631041875542e+00	5.951776065596104922e-04	4.045026036803884423e-02	7.364616093347056257e-04	2.189173461010644195e-01	2.180511068780919756e-03	1.834269118791076902e+00	8.647835229995347317e-02
1.873675239206159631e+03	1.799913397737033094e+01	3.125706025250355596e-02	4.833012032250734338e-04	6.878691988843461946e-02	6.417949059479473046e-04	1.059813801094657615e+00	3.310294390681779546e-03	-1.618871784983837880e+00	1.103744636270933555e-01	5.405828227715313687e+02	9.692928141806557818e+00	4.050281746061822119e+00	5.349160542998828132e-04	3.872737798073872667e-02	6.659513255834498702e-04	2.193501626231577628e-01	2.003521172103680126e-03	-6.121299928860839401e-01	8.339855176685610771e-02
