# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
1.507910344514935787e+03	1.130918795599411553e+01	6.846881861150902471e-02	6.871889296809612644e-04	1.225535695795104962e-01	8.752973721746937653e-04	1.267805477112768697e+00	3.997615891677151756e-03	-5.479631290312976688e+00	1.435528117980666152e-01	3.713972122532520643e+02	6.500759028573086518e+00	6.896919031959642510e+00	6.636472620143082099e-04	4.841463445613713307e-02	8.084706924035968498e-04	2.362528138142623857e-01	2.315088731859324313e-03	-6.177479639210152307e+00	7.045886994580076446e-02
1.560992585064631157e+03	1.073101200646763154e+01	7.660460841353064487e-02	6.286291276044584818e-04	1.222465229806180692e-01	8.003807126815026297e-04	1.242236664211852970e+00	3.605657973296107297e-03	-3.782876916570350745e-01	1.368756938950967117e-01	3.721639684941069959e+02	6.139208633239613633e+00	6.844494750961440666e+00	6.272531852441728993e-04	4.859209799749807102e-02	7.649458823476833636e-04	2.389497506864812493e-01	2.196673612104819203e-03	-7.265230254382554209e-01	6.632320984920828111e-02
1.402593926563396053e+03	1.028121786602245535e+01	1.036854141303668875e-01	8.038997353131200263e-04	1.448822544172121696e-01	1.003347818632554459e-03	1.226682900968068646e+00	4.184851893701368834e-03	5.324555730311800517e+00	1.667776662309928548e-01	3.383889273733899472e+02	6.921653936955252107e+00	6.858979244971887823e+00	7.006091431513787040e-04	4.459476117042873028e-02	8.751341375592623347e-04	2.616611565796193029e-01	2.677753484175237394e-03	4.292866955271565921e+00	6.276083943966877243e-02
1.669423896980766131e+03	1.098067876726606507e+01	7.294476511953933151e-02	5.620545092591075226e-04	1.146198623309122450e-01	7.200373353750122440e-04	1.227589659411298051e+00	3.302659848868695711e-03	-2.968000811329180699e+00	1.286601844721433352e-01	4.327939817985446780e+02	6.120370781561214280e+00	6.890949069900238477e+00	4.917644402903565857e-04	4.498356240306594644e-02	6.091356393713733518e-04	2.468379224609306977e-01	1.817382560144552685e-03	-3.780600266554569711e+00	5.855576704506808977e-02
1.505146669875168072e+03	1.129786153222742406e+01	8.899863133710091134e-02	7.470500177550024089e-04	1.323269948305717814e-01	9.425738145768826608e-04	1.228461007978175701e+00	4.079427133346940314e-03	1.771760051124892765e+00	1.616198364689241940e-01	3.633563498174031565e+02	7.593908145684191702e+00	6.834794169194164937e+00	7.717831884025709490e-04	4.740759128818511359e-02	9.465489949638374121e-04	2.422826601003660318e-01	2.754649956190498381e-03	1.456051023103138053e+00	7.873226514661005315e-02
1.643178035991951901e+03	1.296419448966352128e+01	8.733675807345796238e-02	7.608433027531570506e-04	1.285358634318569393e-01	9.636496524492730101e-04	1.246947126003739470e+00	4.264749129935334164e-03	-2.878400625219184938e+00	1.770328258036532598e-01	3.194930277654580664e+02	6.661646602593513045e+00	6.893910013824371852e+00	7.635183715297706297e-04	4.712487549437521794e-02	9.394160455695491031e-04	2.464352012847288720e-01	2.756382014797681239e-03	-4.720249429994859192e+00	6.771798936807336966e-02
1.671345065865161132e+03	1.120457844883650189e+01	7.491241600816807289e-02	5.615840101841285603e-04	1.124397295456594087e-01	7.204826517014342908e-04	1.211970657579384492e+00	3.300791566752513811e-03	1.927880995399061437e+00	1.285175149281901352e-01	4.362377957575256460e+02	7.915545399924977410e+00	6.947168692179886307e+00	6.115058968375961922e-04	4.430702459325996934e-02	7.734966961484087029e-04	2.901079177935993458e-01	2.470289706761123662e-03	1.200065968441269282e-01	6.589994846599976641e-02
1.509956131179322256e+03	1.035682193439485843e+01	9.975436965916527343e-02	7.230998619034426566e-04	1.395991198491246532e-01	9.063169760570840075e-04	1.217167731042247736e+00	3.815009353186178502e-03	1.622065921839486835e+00	1.601312580413866704e-01	3.620480436248297451e+02	7.209893973246947141e+00	6.859942900259713205e+00	7.413263378932619238e-04	4.750068000194455214e-02	9.023966992509906311e-04	2.303303245121108844e-01	2.577101853375478833e-03	1.693956370530284028e+00	7.766977823643345102e-02
1.231867510796093711e+03	9.393993679091833471e+00	7.938754591065802502e-02	8.436243939052635085e-04	1.461427666532634229e-01	1.052384325004131855e-03	1.244290547874695285e+00	4.419100976251357990e-03	-4.902788439397398612e+00	1.533636409225442310e-01	4.577128473605354202e+02	7.856618972270067225e+00	6.822310323229743290e+00	5.655454948863352337e-04	4.296359264092419056e-02	7.078203391906282308e-04	2.556933025340998311e-01	2.175672696113762142e-03	-7.174643358412913230e+00	6.903736683319763867e-02
1.050045250346131979e+03	7.471982727415534598e+00	9.233189663839412586e-02	9.018021376999850371e-04	1.659655857968338477e-01	1.107440972447681091e-03	1.280059916430093869e+00	4.517620359717929891e-03	3.612983293913283322e+00	1.437289595578567780e-01	2.758547916542136136e+02	4.291318098761577104e+00	6.806770360257934804e+00	5.918190526715570504e-04	4.860287271498379968e-02	7.214402340949945328e-04	2.383311557412324810e-01	2.069742169158155214e-03	3.987256986596571462e+00	4.645618900680281715e-02
