# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
1.960777566330227501e+03	2.163700772139828743e+01	3.190064459012362241e-02	6.212291479661076260e-04	7.723913535153843768e-02	8.336476318782039176e-04	1.162051898905062775e+00	3.901968706804381532e-03	-1.825551669343697014e+01	8.777330912571183752e-02	5.774436915822088423e+01	3.472126691506981278e+00	1.724277099869093277e+01	7.100309688739749221e-03	1.266973010052630522e-01	6.841117195497951019e-03	2.596931290467164866e-01	1.733620962402496885e-02	-2.328398157419660919e+01	6.691044675582626111e-02
1.505777758139937077e+03	1.621346723651405952e+01	1.184047462105924237e-02	6.097311201631769014e-04	7.771811740273038005e-02	8.185300907895059434e-04	1.181871184390435037e+00	3.855177902641355320e-03	-7.102969866399040377e+00	6.550186825273646152e-02	1.127890976014048618e+02	6.215406290249053001e+00	1.716836375315166663e+01	4.069687531433499421e-03	9.192223210397877653e-02	4.629151169242565894e-03	3.365636234045619735e-01	1.366426006934001909e-02	-1.001505844668239043e+01	7.313408578794058923e-02
1.511051612444766988e+03	1.360887589556695865e+01	4.319146329648525934e-02	6.168715933006100943e-04	9.335238513675844785e-02	8.190825880859806856e-04	1.173799328167447920e+00	3.547183675155028432e-03	-3.297898642241962719e+00	7.154720209259549102e-02	1.046782499283515193e+02	5.150547980919222724e+00	1.719378108179601483e+01	4.591029990963969680e-03	1.173307652193300576e-01	5.021507475001100659e-03	4.092579691252504204e-01	1.670934134916923081e-02	-6.291016221097471828e+00	6.520105808534754077e-02
2.260720725589913400e+03	2.235519736810125835e+01	5.508371754250309532e-02	5.532880808049709829e-04	7.674529287178172288e-02	7.421935985807496779e-04	1.142445504721411709e+00	3.452663227674726640e-03	2.406054569369865392e-01	9.103908778857323914e-02	7.850024987342391114e+01	4.614051141096992659e+00	1.730466762477619724e+01	6.501455591928777429e-03	1.297102361567776529e-01	6.412027669966568165e-03	3.334999516210547799e-01	2.034404301670309639e-02	-2.841143596661122928e+00	6.994999865223981705e-02
1.066742859657517329e+03	1.617054930941641544e+01	-2.177051003145311775e-02	8.651310804407042225e-04	7.838501930412057617e-02	1.162500072911378229e-03	1.223101480127842144e+00	5.555445521919038371e-03	3.654399204681645585e+00	6.443218821258527018e-02	9.066740735874044788e+01	4.607452469401949635e+00	1.704462620274373208e+01	4.642417931464858614e-03	1.096944342215896984e-01	5.123436535013583225e-03	3.417154785760463387e-01	1.386775274476509910e-02	2.110083719584534556e+00	6.736131872236743312e-02
1.789632287628772474e+03	1.737305601472987959e+01	3.912191957714359486e-02	5.625401192389662937e-04	7.941143557317051349e-02	7.534813589728011013e-04	1.152080463156044177e+00	3.467965772544653186e-03	-3.485138523104360342e+00	7.377618612772358919e-02	6.551373892650262576e+01	3.484045956982031456e+00	1.732826748389590321e+01	6.797563283325117230e-03	1.364638549191300732e-01	6.229745344641612198e-03	2.713856729107998467e-01	1.745915307401698854e-02	-6.787198863342199573e+00	6.432909747598786199e-02
1.723420502567291123e+03	1.534624932175834999e+01	3.588372123906513611e-02	5.270406667301737787e-04	8.108199146468483831e-02	7.055161825741306176e-04	1.166920405265547078e+00	3.239265345464390020e-03	-3.342332597322994037e+00	6.646744543976240704e-02	1.044783580645662084e+02	5.229435007168222960e+00	1.711611333780423294e+01	4.657367261338402238e-03	1.173788920756732718e-01	5.174876122105935734e-03	4.256748733695884801e-01	1.695986521600269248e-02	-5.778763273998419159e+00	6.592579413925031551e-02
9.692817478490430858e+02	1.862819036109852888e+01	-5.811700802245179515e-02	1.055178397320598229e-03	7.553512027400505202e-02	1.421626136766278043e-03	1.247878633978219964e+00	6.982365748720830052e-03	-2.930952279850928655e+00	6.936467621915425041e-02	1.167131508109103066e+02	4.245152233171801015e+00	1.693916432037901743e+01	2.704967516045305841e-03	9.424585847706090647e-02	3.184954562788573380e-03	3.969903915083651813e-01	9.483136183765042762e-03	-4.547369166378511629e+00	4.717317805401779335e-02
1.551201613844539224e+03	1.772307643910511032e+01	1.470092157409998157e-02	6.046719312179010602e-04	7.271656972331738689e-02	8.133136064398681277e-04	1.139359901640562667e+00	3.869730766225980712e-03	-3.789269659729821882e+00	6.700223148521286531e-02	6.630829048508384460e+01	2.855163013942052075e+00	1.714662495104960627e+01	6.722825551812638967e-03	1.593585378992152246e-01	6.088465049962918721e-03	2.848422727159107826e-01	1.546030643970919445e-02	-6.681108821067822667e+00	6.449352058223514761e-02
1.184586661114514754e+03	1.140201965348388136e+01	-1.536451533873503528e-02	6.263826463628652296e-04	8.898852742833356089e-02	8.357886525408673301e-04	1.222302841281681207e+00	3.775169779939078259e-03	-1.551710011646604492e+01	5.438487401716921021e-02	7.913864148959066824e+01	3.734839655772143274e+00	1.710303888458292931e+01	4.403785433502159855e-03	1.129297105467067658e-01	4.819427598885072002e-03	3.555462089555022631e-01	1.376691262878676839e-02	-2.021628597324558996e+01	5.329181982484626490e-02
1.597936693943591308e+03	1.666258674956769426e+01	4.152812714692964008e-02	6.366920255989476666e-04	8.358700335956711913e-02	8.512722329580605339e-04	1.180211708439446339e+00	3.879607729597423903e-03	6.682867753943575906e+00	7.469357778367949341e-02	9.440726560007716728e+01	4.814171900184493147e+00	1.710388412077740838e+01	4.532165173278948807e-03	1.086634743352052346e-01	5.030057085985417675e-03	3.600119383939656137e-01	1.450019761309966418e-02	5.545190983521902872e+00	6.553598646874551903e-02
1.928316227126902049e+03	1.903530366177525579e+01	4.851416927597849288e-02	5.828553399331038712e-04	8.085768359586330278e-02	7.798386603703657410e-04	1.149717763591352471e+00	3.557014883526137070e-03	-2.935525526402580354e+00	8.305054620958939038e-02	9.980883326969289726e+01	4.713490177687591043e+00	1.727305197766804312e+01	4.359849032770294133e-03	1.093452159974673404e-01	4.580732503593262263e-03	3.071225090224790066e-01	1.318786589921771071e-02	-6.116548626825418111e+00	6.859904786705928181e-02
