# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
1.765211297326905424e+03	1.039444123081133320e+01	1.038845182794244093e-01	5.663402573406006810e-04	1.276712797371336860e-01	7.144706454521155105e-04	1.116344012183609680e+00	2.938524996190535095e-03	1.094449975565749272e-01	1.475792273782174091e-01	7.209039327078643282e+02	1.337735273020918747e+01	3.054802162486749406e+00	4.832569390085100498e-04	3.428871643644412770e-02	6.129489578875553946e-04	2.267703589377005335e-01	1.952642865086387817e-03	-9.664680729671983883e-01	9.580574349467255169e-02
1.662118776281901773e+03	9.439107670822480145e+00	1.016036332875870501e-01	5.274672136443846237e-04	1.234720825314707532e-01	6.673634607735829446e-04	1.097047022503345515e+00	2.750004960492423347e-03	9.433298387861707823e+00	1.290464668622038069e-01	6.601306632846916500e+02	1.231899093515571941e+01	3.042725226579532372e+00	4.855540954147201990e-04	3.416641003362786561e-02	6.138159815908103469e-04	2.190518723341355889e-01	1.931271353317530861e-03	9.490525994289903622e+00	9.016416394932552647e-02
1.426729892068989329e+03	7.017326553292762448e+00	8.644942306758687800e-02	4.589912509900809429e-04	1.240334221400361675e-01	5.805225140999557311e-04	1.100655755969949467e+00	2.393013583175997334e-03	2.528643382949516294e+00	9.639158320046808948e-02	7.676327904957585133e+02	1.186382998308449821e+01	2.935635619659848761e+00	3.857471440730019332e-04	3.307726580779415948e-02	4.935511907548887234e-04	2.378760702217168621e-01	1.624943332815068477e-03	2.321381085606940342e+00	7.810030959094327319e-02
1.528965194979452690e+03	7.353844345372648306e+00	9.879537627030732239e-02	4.774406115603151211e-04	1.314449899448405235e-01	6.000442834802579206e-04	1.107709631256042604e+00	2.427232247341746130e-03	-1.234115408579147255e+00	1.090673864963933315e-01	6.438432976665565093e+02	1.182120120988527745e+01	2.957741729929837415e+00	4.555362280590027641e-04	3.275007094791743817e-02	5.798152366135880071e-04	2.233874920563914679e-01	1.867937375814941953e-03	-2.509570095029373338e+00	8.061263556677548958e-02
1.332155345614836278e+03	8.319159685527221626e+00	1.140007737281976408e-01	6.979672655862023027e-04	1.466607627569122829e-01	8.646525982092761022e-04	1.093406049570445404e+00	3.324166561998222191e-03	1.318042986202514033e+00	1.441101234460226421e-01	5.901850394971792184e+02	1.061330498316652005e+01	2.997443814649557225e+00	4.990547014362907473e-04	3.627918006349759028e-02	6.270234531628907744e-04	2.209752425452421731e-01	1.936568018470165992e-03	-6.643892219413035649e-01	8.345097532694109588e-02
1.558499821136995706e+03	7.949009266268418195e+00	9.208236712844689031e-02	4.806607564544916524e-04	1.252243553609506954e-01	6.075397561821491632e-04	1.110093996260313132e+00	2.508785740400040244e-03	-8.424174114486864262e-01	1.101877458992429892e-01	6.853856393871913042e+02	1.228528279231664122e+01	2.952675636013504690e+00	4.528396617513759923e-04	3.321933896073819142e-02	5.735556412979916051e-04	2.164201196827298113e-01	1.814836874918685254e-03	-1.256137358922500447e+00	8.746425510023826677e-02
1.704793877891993134e+03	9.622659868149346707e+00	1.035286343603645104e-01	5.431194012977114257e-04	1.277234688915517002e-01	6.851698476240127662e-04	1.117198051669350045e+00	2.818909917485320007e-03	2.812812283777290201e+00	1.366538881564801911e-01	6.001172129381659488e+02	1.171611168489246424e+01	3.053349707531489710e+00	5.210247787593909894e-04	3.492106727861911397e-02	6.554982917005666059e-04	2.147192582160916963e-01	2.030095534799729665e-03	2.740837237637327117e+00	8.956791657687897257e-02
1.559676019371854181e+03	8.635886029297232369e+00	9.187282958849568582e-02	5.270471684842837051e-04	1.264402948334543419e-01	6.656702727087493963e-04	1.117800318351956479e+00	2.750774868248842715e-03	-8.891876340235475018e-01	1.209216273227410321e-01	7.818357771491052972e+02	1.592744652628988966e+01	2.999932925157563268e+00	4.924651222533222477e-04	3.207308368096788848e-02	6.312994556152308609e-04	2.348643276090635612e-01	2.092154907725538113e-03	-7.177095490947248413e-01	1.016535414859735531e-01
1.635045205807101866e+03	8.605866689584029672e+00	9.964856256741336238e-02	5.114201005302127954e-04	1.289393745255476009e-01	6.447294091727064861e-04	1.126132389860216021e+00	2.656540119847570873e-03	3.202119191328680059e-01	1.233656148027749699e-01	7.231098339378846731e+02	1.299649365139414137e+01	3.039918652360221518e+00	4.560752104370124470e-04	3.368477730825938238e-02	5.848762257438623125e-04	2.484628559565244810e-01	1.946734637691414308e-03	-4.377154386558656518e-01	8.475765085347743144e-02
1.660431550665899749e+03	9.737446070914741014e+00	1.011034469875269765e-01	5.543056860583078739e-04	1.256263748232600286e-01	7.007057717524697990e-04	1.120936168818740919e+00	2.908359636300226168e-03	6.757754806700403627e+00	1.349611220206325679e-01	5.875172154553557675e+02	1.164655015070820276e+01	3.042040165048783606e+00	5.405158235782953893e-04	3.557358763861815515e-02	6.775163726663129254e-04	2.121352925333077899e-01	2.074467497514957594e-03	6.730287068891665392e+00	9.204733463522914161e-02
1.536511819209494433e+03	7.997264256564758256e+00	1.057711477661268801e-01	5.215473628516868743e-04	1.325925015207529700e-01	6.547240295320765199e-04	1.104999189107663593e+00	2.635106880317729643e-03	2.994452397355250817e+00	1.201618516499956824e-01	6.288563785650353566e+02	1.138392991455705605e+01	2.985050288122712114e+00	4.933744527871206055e-04	3.547450958363879137e-02	6.165617492032467043e-04	2.062380372122788741e-01	1.869540561137551186e-03	2.280920168959613026e+00	9.155003222506584437e-02
1.491041196754517841e+03	7.558384391880925257e+00	1.094960438113887075e-01	5.284159438637293232e-04	1.376087036765021032e-01	6.606816463939577675e-04	1.114892107296760138e+00	2.635936950159536735e-03	3.096096136564798318e+00	1.190045457541479279e-01	6.905581341477949309e+02	1.252640529562336091e+01	3.014929240072228733e+00	4.777884543725582282e-04	3.449720446266687363e-02	6.018406811140314654e-04	2.142670277782950938e-01	1.870718300915414278e-03	2.151739052688126375e+00	9.439940700073166935e-02
1.621187998150715885e+03	9.076866464053782835e+00	1.115758280516041118e-01	5.625892479830520111e-04	1.329771293302207391e-01	7.062917587948410380e-04	1.113674223124331064e+00	2.853878766106526105e-03	6.479698424106427268e+00	1.364360615012495948e-01	6.059141912699755039e+02	1.070242517475758248e+01	3.057761464187322975e+00	4.660373802450936960e-04	3.451070532693824300e-02	5.861192427796253594e-04	2.114430531006288028e-01	1.812194238648687878e-03	6.117152986082849075e+00	8.151202127623605187e-02
1.723108074235466802e+03	1.010905126329981663e+01	1.036313772845344622e-01	5.634979282160605890e-04	1.274527615593500363e-01	7.106900169348487470e-04	1.105947221787114909e+00	2.907006346169432702e-03	-3.807327217968304867e-01	1.438203003424722015e-01	6.660859717970213296e+02	1.236379200355464825e+01	3.063800363843240504e+00	5.102170754173872714e-04	3.574550786001148839e-02	6.368409259206819859e-04	2.058471029546821429e-01	1.924424464281379067e-03	-1.571133689942762146e+00	1.005530392708363085e-01
1.684830309072684940e+03	1.006755965678357967e+01	1.066518804902121947e-01	5.803644036191212951e-04	1.289039569057009449e-01	7.317712368423948555e-04	1.129233238829912223e+00	3.020921143369948488e-03	6.374786352901320008e+00	1.440799456434070369e-01	5.828440418908636502e+02	1.177773641740565580e+01	3.034295327313304647e+00	5.183180100811979546e-04	3.362640412584839977e-02	6.538403789433206662e-04	2.112851860167127005e-01	2.040266047369177372e-03	5.946667357996065384e+00	8.676378719114739846e-02
1.666800036809685253e+03	1.050931393793521984e+01	1.024273224564197782e-01	6.071103285887906233e-04	1.277912397189915616e-01	7.657404080897953517e-04	1.113936655348159555e+00	3.143665501185288931e-03	2.993372108376719964e+00	1.495564992927357617e-01	6.183817274331094040e+02	1.076897169275225252e+01	3.053779885420555118e+00	4.725634441505877905e-04	3.540106369357497174e-02	5.922974534284465749e-04	2.109128505262451159e-01	1.812726718598804991e-03	2.082702729558982835e+00	8.494001279393977033e-02
1.645212588210269359e+03	8.868995683316132528e+00	1.034426808210467674e-01	5.280740123261777434e-04	1.298068216369102079e-01	6.645428062162469281e-04	1.103925703138223469e+00	2.695384849100643850e-03	-1.276639206004460236e+00	1.294999728278428408e-01	5.828785264329156917e+02	1.143812531557214385e+01	2.983752092278422641e+00	5.084963249820340049e-04	3.406726528188117054e-02	6.437223030585721619e-04	2.212021623472707477e-01	2.035442330027008480e-03	-2.910170634575955262e+00	8.277424269851829663e-02
1.713654325966668239e+03	1.082508313170305314e+01	9.737725626950943791e-02	5.894538266787551634e-04	1.241781704954532384e-01	7.464500578734992436e-04	1.132127381480611872e+00	3.133328027584897802e-03	2.864607780166178674e+00	1.469758560172548523e-01	6.708626755273439812e+02	1.351033600884934494e+01	3.070819762573283818e+00	5.118696934421764844e-04	3.344196294994474655e-02	6.487302755089744983e-04	2.192257037502719497e-01	2.058111761452355217e-03	3.221415553861617820e+00	9.607823994907584153e-02
1.594813328904041782e+03	9.998079760215263789e+00	9.107297373212122626e-02	6.024006889392074463e-04	1.276925683359342312e-01	7.608334365246629183e-04	1.143932670604667523e+00	3.180250214987679486e-03	-3.293123730275007599e+00	1.404100583296576943e-01	6.121480639939563844e+02	1.026654389698346037e+01	3.062445176919038392e+00	4.606852659407277843e-04	3.583843255950128204e-02	5.773971109969635749e-04	2.136151146352910923e-01	1.767943176130577256e-03	-3.149139215434729966e+00	8.149484443019813784e-02
1.728596288771791023e+03	9.636405062735825311e+00	9.962508095531386054e-02	5.328512500575515809e-04	1.269099347650140264e-01	6.725720682902253328e-04	1.112796149465824058e+00	2.766968722702735622e-03	-3.608296428622848495e+00	1.359022459375540115e-01	5.803615386650244545e+02	1.263992741264742925e+01	3.008384175948612071e+00	5.492567505224223417e-04	3.330530945574256690e-02	6.995175941319430567e-04	2.287247702441046748e-01	2.260686729730828314e-03	-5.400275519744444530e+00	8.654786672611915199e-02
