# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
1.501793522479274543e+03	1.650906330057458860e+01	1.675252718533921936e-02	5.976131103032384251e-04	7.467817183585348517e-02	8.034613410151838619e-04	1.165295928181337537e+00	3.823123500257988566e-03	6.383316092157523824e-01	6.370846709805290387e-02	1.079556394204039123e+02	3.517397466489887936e+00	1.570561258031412066e+01	2.734910707843029969e-03	1.013917016967883084e-01	3.117638526181221257e-03	3.405202847711897851e-01	7.926552905806334356e-03	-4.759047107271726085e-01	5.014965098558408357e-02
1.731202289957270978e+03	1.596160822184757144e+01	2.762117211936099270e-02	4.962851392805940664e-04	7.397759435826918584e-02	6.677044265480093456e-04	1.171967868483070996e+00	3.200251095227648127e-03	6.220228624129068434e-02	6.051178610170345612e-02	1.273270425913374169e+02	4.977051653708487677e+00	1.570824954590855604e+01	3.271986863869973117e-03	1.018817761701572983e-01	3.763008498241208252e-03	3.568320907081200533e-01	9.681516678785612173e-03	-2.107093811689159324e+00	6.925849294664732092e-02
9.050230244606228780e+02	1.222134754164688708e+01	-1.615342852241028956e-02	9.869136565050574180e-04	9.945112382832914377e-02	1.306809693132284997e-03	1.205333794832941230e+00	5.583612662572518502e-03	1.130086472245299234e+00	6.883685704289747853e-02	1.005512753221258180e+02	3.575629075391333345e+00	1.566288542423538033e+01	2.702896250337894282e-03	9.164726311327336949e-02	3.075533190914959275e-03	3.044049297516053798e-01	7.785677840562703171e-03	-4.623188224262200774e-01	4.863013277966617143e-02
1.709965130030301225e+03	1.905435858011586703e+01	4.006881338476430549e-02	6.427773003113755688e-04	7.911040087446526148e-02	8.619394993924500703e-04	1.177417260512466646e+00	4.019710292554899700e-03	6.129656579197580335e+00	7.916675895780496408e-02	1.093122811857260075e+02	4.593369374669817873e+00	1.578328291118463511e+01	3.235590521803954206e-03	9.442031497481631619e-02	3.755217202231087709e-03	3.451447127411026994e-01	9.769990484468082936e-03	4.783173551209872976e+00	5.966878189766855467e-02
1.921584834467507790e+03	2.089638961018405894e+01	4.871313564120990924e-02	6.270892535860904393e-04	7.902381261206688212e-02	8.400214756770071553e-04	1.147597801485360947e+00	3.866651149339485685e-03	2.579086894792752105e+00	8.839166846627628804e-02	1.260405956236870253e+02	4.996451609864379861e+00	1.584462565894551211e+01	3.346763017358186498e-03	1.030573472577163696e-01	3.862538443665643716e-03	3.671040335985299441e-01	9.986538267988660442e-03	9.670162470753350670e-01	6.915549114689549526e-02
1.767291042066826321e+03	1.695468932140069640e+01	4.048560078278159308e-02	5.739196202669203913e-04	8.189780841163933622e-02	7.674676411712778304e-04	1.154327484203228282e+00	3.488285038325561731e-03	-2.839997861125643119e+00	7.509072398026306328e-02	1.074827265267427094e+02	4.060845230087623214e+00	1.575947097020039855e+01	3.546458045654394056e-03	1.113322092243605177e-01	3.955865972376627383e-03	3.402241704454620486e-01	9.821514774717911289e-03	-4.882360583998772263e+00	6.452210791211883401e-02
1.861953465839455475e+03	1.642463140576174396e+01	4.592382991543746129e-02	5.178092287466003717e-04	8.041045815037789479e-02	6.930801186644474070e-04	1.151762152130562322e+00	3.172005116411751209e-03	7.873420268854169901e-02	7.100357365533094267e-02	1.252079847214152295e+02	5.432198945103396959e+00	1.574564687001650398e+01	3.679244375663108177e-03	1.036608140683132340e-01	4.252637440964001508e-03	3.722075006064811675e-01	1.102239863160050029e-02	-2.233320377565582771e+00	7.506595634208143575e-02
1.730491786571242301e+03	2.079441591854533655e+01	4.337999695706638154e-02	6.947228289882835571e-04	7.917913230596135277e-02	9.297098038270352333e-04	1.125247805344506080e+00	4.232055595505727387e-03	2.288448544016183028e+00	8.952976801775842930e-02	1.506607119221455378e+02	5.617010687005293157e+00	1.582024652433705469e+01	2.741535464243673691e-03	9.136855668362399430e-02	3.232919021787644502e-03	3.628840273029981245e-01	8.620438642091311776e-03	-5.132286557670993066e-01	6.782803994145229776e-02
1.678482396533955807e+03	1.757274245251121059e+01	2.938588299361313480e-02	6.015461375115463156e-04	7.881378471823043130e-02	8.068949056430094278e-04	1.180268328247458420e+00	3.774088122815486609e-03	-3.119734931338125072e+00	7.249220906765217742e-02	1.284819063256333891e+02	5.311256920869823261e+00	1.579389055264958586e+01	3.220265065520597561e-03	9.624355184208473191e-02	3.770535106562852498e-03	3.684320775056070252e-01	9.949417869082977789e-03	-5.590735684882188750e+00	6.760644670083318375e-02
1.484088888565021989e+03	1.601265240845959426e+01	3.056831367025235335e-02	6.771590808215506097e-04	8.585081978652310541e-02	9.041999174534176608e-04	1.186311132094119536e+00	4.083874601579482767e-03	-9.302967764615860391e-01	7.424673221977838578e-02	1.095024282808109177e+02	4.205081956988959035e+00	1.565258640141469471e+01	3.039672223528713541e-03	9.674210535682110923e-02	3.514083372944716219e-03	3.472320537281077257e-01	9.098470384567416969e-03	-3.134907707348990158e+00	5.603286424105249908e-02
