# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
2.037768500802604422e+03	1.140080546887134361e+01	5.238605983566239910e-02	3.510059367792035161e-04	8.537397138157447329e-02	4.611979185336068099e-04	1.232246488241499183e+00	2.404573652251911029e-03	-1.023887565857279469e+00	8.802054560489544488e-02	5.588472259655303560e+02	1.006153904084320239e+01	5.849452147163825444e+00	5.534323018643387245e-04	4.010093060043443125e-02	6.932255616958036973e-04	2.393724580743739616e-01	2.129714705340186431e-03	-2.186175537834570637e+00	8.489949658327622384e-02
1.565568448264476729e+03	9.823000822494057260e+00	1.011229275556139312e-02	3.410833588361722566e-04	7.434665273538380859e-02	4.523134448766247739e-04	1.217087018500145001e+00	2.483872683346521112e-03	-1.359640611648753827e+00	6.263641685150818372e-02	5.364985607221530017e+02	8.675924289385072541e+00	5.709758842740610518e+00	5.165578945765246814e-04	4.125752024588252853e-02	6.388038680504155810e-04	2.225248778270846606e-01	1.889877923434313267e-03	-1.986957059872053399e+00	8.011800032336775790e-02
1.275207990741232379e+03	9.038021434953257938e+00	-1.707412719586755626e-02	3.715865673207735596e-04	7.178362793264686514e-02	4.938301269200535753e-04	1.214691720548143783e+00	2.750775312689280293e-03	-1.351468754089216517e+00	5.486978873389259520e-02	5.608162843342007591e+02	9.736512200833082886e+00	5.664395191587906275e+00	5.057831557135649726e-04	3.802602948212550904e-02	6.341360470993870953e-04	2.280731709742741253e-01	1.949122079986347371e-03	-2.330356706399292488e+00	7.948617451332173900e-02
1.895267003484897032e+03	1.098054279059868676e+01	3.733547057971122601e-02	3.326517630923020723e-04	7.836385416710876795e-02	4.395599264039165349e-04	1.211674740279267137e+00	2.350417720420849323e-03	-8.788578374929846559e-02	7.563857300936926986e-02	4.955978021405271647e+02	8.908892774172151974e+00	5.814388424431431446e+00	5.589413505761617156e-04	4.030674366245966256e-02	6.944369399840170454e-04	2.250902839362413088e-01	2.080159709490323524e-03	-9.916877630887399597e-01	7.917908305728833807e-02
1.679498579431055759e+03	1.067349186498425695e+01	2.240958494561594988e-02	3.776722094597277863e-04	8.103244787141435090e-02	4.980681568294637518e-04	1.229957085482237478e+00	2.653395839169409541e-03	-7.343256886985873422e+00	7.657807986057212080e-02	5.692536186421763205e+02	1.028470441964138971e+01	5.751846379026464007e+00	5.673700466340779848e-04	4.112326043789497204e-02	7.140226549439388469e-04	2.560936574007082189e-01	2.231833385365943924e-03	-9.513019001907480288e+00	8.528115536460592616e-02
1.654730490546207420e+03	1.042835895831252735e+01	1.593886190735941191e-02	3.465768563496123933e-04	7.515590840885347235e-02	4.590960169684224729e-04	1.196067827970760167e+00	2.477369870117825980e-03	-4.744641208634508445e+00	6.810324449107187095e-02	5.609110462662242753e+02	1.088526009540279738e+01	5.731072675217857793e+00	5.255334390060950513e-04	3.597121298646383664e-02	6.743662646564775338e-04	2.683400872856074315e-01	2.259490803031870450e-03	-6.584064836268084697e+00	7.301185722548583779e-02
1.456896540746753772e+03	8.338776696816388778e+00	6.552440139800026243e-03	3.414663449599850153e-04	8.134304966548287774e-02	4.502423889852557931e-04	1.235674243722393539e+00	2.402947688528592977e-03	-4.293506755537931596e+00	6.002955699363294456e-02	5.907105694987724291e+02	9.673065454439836230e+00	5.741353448362886525e+00	5.268185124078830208e-04	4.163113897325070728e-02	6.530020676046977392e-04	2.286967287948329375e-01	1.945564271531724726e-03	-5.392205099150890746e+00	8.858258871354042496e-02
1.303903559156899746e+03	8.999743451093378255e+00	-1.809070632253189162e-02	3.617741749244489857e-04	7.180362582959205764e-02	4.810336829454285221e-04	1.246250162828894670e+00	2.730507583660145461e-03	-3.724564748005432246e+00	5.399196040047471445e-02	4.363090692118992706e+02	6.657760230028118009e+00	5.639298517762692420e+00	4.816394797616786413e-04	4.064841906745285394e-02	5.934591757952052812e-04	2.131530468578487214e-01	1.737017655638215582e-03	-4.514470354696685561e+00	6.223540112673416752e-02
1.704439100938800493e+03	9.144706602563152487e+00	2.542972436757403101e-02	3.085658019643598943e-04	7.849853208724683062e-02	4.077387130053237193e-04	1.218886614269815372e+00	2.188173646207516171e-03	-2.118279702551283616e+00	6.297221137386664613e-02	5.404813747955314511e+02	8.986420402801554630e+00	5.783031638640960814e+00	5.043460348792641081e-04	3.956546123012204957e-02	6.316550812568770502e-04	2.357084583660586374e-01	1.938394389107734716e-03	-3.030630293030724509e+00	7.537330695427796323e-02
1.601764536100750320e+03	9.760907336574886628e+00	2.196409684388353836e-02	3.602311694806150624e-04	8.062826894766469965e-02	4.753132197925148575e-04	1.239302881535932599e+00	2.551899054050589793e-03	-5.232044929269155098e-01	6.929231448037610763e-02	5.088627058779639469e+02	9.856771996838123329e+00	5.751574179092614258e+00	6.144361670686971982e-04	4.122128107798097435e-02	7.657327983944957860e-04	2.362564784268045559e-01	2.317719446883879496e-03	-1.288566051138281487e+00	8.702701165144433038e-02
