# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
1.712850921352743171e+03	9.354828016819444869e+00	5.074138538426378048e-02	3.399533650634250083e-04	8.447030063467060590e-02	4.453890507733613462e-04	1.087134357346924762e+00	2.136548879077849409e-03	6.899260170290407501e+00	7.568751540394209887e-02	5.923604116152957886e+02	1.047543308369738035e+01	3.522554741697658809e+00	4.862509517853161171e-04	3.623064921531687216e-02	6.172722482139687827e-04	2.423998821587922126e-01	1.978350169497382956e-03	5.702812737573005997e+00	7.667638476726511276e-02
1.806339840314086132e+03	1.137190740405119449e+01	3.892097296039394999e-02	3.552985875257878260e-04	7.687670872270259415e-02	4.686491704874889996e-04	1.082767585948635869e+00	2.335451111744961481e-03	7.280036454855203232e-01	8.071443752133965199e-02	5.285459774160361803e+02	1.026272768139523706e+01	3.503610205706185532e+00	5.697970822316313685e-04	3.840815063261035500e-02	7.168684614409923583e-04	2.375172212232037061e-01	2.230354688596642744e-03	-7.405849076265494935e-01	8.234649621922489338e-02
1.762331169057905527e+03	1.193807924709729207e+01	3.817230511708166740e-02	3.819129222382417052e-04	7.682089469514424840e-02	5.039350790605652292e-04	1.093526811640599616e+00	2.528991758240359353e-03	4.352085987617661189e+00	8.419966264385489452e-02	4.683266259322723499e+02	1.029332805006949059e+01	3.479041484608155876e+00	6.195137655348540709e-04	3.707915222418736723e-02	7.846801064146599093e-04	2.432167111490900757e-01	2.496603323155898325e-03	2.894359459353023745e+00	7.747491664976664805e-02
1.540103100537990713e+03	2.448235584681985344e+01	-2.690901225339635203e-02	5.145194332198592489e-04	4.488916216553396482e-02	7.001909820415447121e-04	1.254164642973869981e+00	4.950432875809538877e-03	5.672880102887206455e+00	7.422508149888128182e-02	5.120202233833877017e+02	1.106955279854805241e+01	3.511491134015978233e+00	6.145629221684740986e-04	3.697392024596574817e-02	7.671288921276855867e-04	2.133994877506791010e-01	2.321894450137659046e-03	4.481283155545700225e+00	9.155804353519332583e-02
1.738005247850262322e+03	1.244556363352739758e+01	3.268142307032576022e-02	3.950485056093534330e-04	7.524844104113172227e-02	5.221423379128442609e-04	1.102938955888056238e+00	2.659741289429201280e-03	2.550892911716180489e+00	8.485332662342601195e-02	4.766808378755916351e+02	8.792198364143372302e+00	3.504278338963933148e+00	5.414400575959796551e-04	3.807363272926152925e-02	6.732850520074461220e-04	2.134305454986537842e-01	2.016962490265052262e-03	7.486755209494339036e-01	7.550911726505139809e-02
1.495483929894890480e+03	7.374374295454598993e+00	6.086268731652152986e-02	4.057017702567338943e-04	1.104086751745167599e-01	5.207113369289202926e-04	1.167571784320316164e+00	2.341836140894235866e-03	2.537590703401794712e-01	8.386170160444973709e-02	6.158075091985402878e+02	9.516467232817232613e+00	3.537262959154936937e+00	4.409254161238810644e-04	3.730447391592351530e-02	5.539444981838907408e-04	2.274162237466733905e-01	1.712643183614583411e-03	2.242791652539492531e-01	7.593366540704871159e-02
1.670603806169210884e+03	8.635737854061858343e+00	6.659202291352851744e-02	3.821923809221343870e-04	9.962682151469130776e-02	4.944695524538114152e-04	1.119822927617707853e+00	2.255741949912904755e-03	2.995351107502362442e+00	8.678396187381613724e-02	5.385889259351863529e+02	1.007157285477054742e+01	3.579226108756013769e+00	5.539752246423506818e-04	3.846963856766252854e-02	6.899730844799808202e-04	2.185553409653500367e-01	2.077855322761995496e-03	1.804261977403749384e+00	8.614330807145532953e-02
1.804635276051636311e+03	8.378508817773727912e+00	6.381398146710133557e-02	3.243892619821313154e-04	9.430793451259142368e-02	4.211409463184037616e-04	1.081692343407863133e+00	1.921032386303778714e-03	-1.186632686001973802e-01	7.934688279888166274e-02	5.849950852730095221e+02	1.073533189712285463e+01	3.556866324991788453e+00	5.172668830205588578e-04	3.680629868138834276e-02	6.489400481688956069e-04	2.215223201638018558e-01	1.995691953051093731e-03	-1.378016886282777964e+00	8.585232041094746636e-02
1.776388188963244602e+03	8.243984553968067175e+00	7.210483175361064034e-02	3.626220911189781924e-04	1.049863218185545927e-01	4.668711597082507978e-04	1.117636440519794716e+00	2.080943852873650638e-03	-1.330929734071288673e+00	8.922237407111792418e-02	6.363699997245510076e+02	9.791768708393121301e+00	3.591404107148919334e+00	4.270169417646759065e-04	3.634715017571122503e-02	5.378238545899362419e-04	2.262026648125604333e-01	1.675097855431947023e-03	-2.354035868160807787e+00	7.583890083144809169e-02
1.667647272486471593e+03	7.563157579002790953e+00	6.872766487003340030e-02	3.452041966753878867e-04	1.023373649586457879e-01	4.451279069300446501e-04	1.094709584584432349e+00	1.977669156363820371e-03	2.163919614844119099e+00	7.980416250808052003e-02	6.162614756618473848e+02	1.088277059040198935e+01	3.558785517286758626e+00	4.901481550534776905e-04	3.641516624700086302e-02	6.188212585698558239e-04	2.316061572109716638e-01	1.943918877800671552e-03	1.143246842580285527e+00	8.301426525538919965e-02
