# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
2.211788828581210964e+03	2.037788582116224489e+01	3.952034342578530229e-02	4.485601037405485695e-04	6.668632465901656869e-02	5.973383530203853773e-04	1.094249174133823166e+00	3.192226728790255406e-03	1.558934493340601524e+00	1.174710590334912264e-01	5.152862625684884961e+02	8.442078411780407521e+00	4.531636678727574363e+00	5.341446934768570619e-04	4.223847593001531231e-02	6.630086738315506484e-04	2.347819254215260110e-01	1.984887527052072408e-03	2.761734014888762800e+00	7.726654000510192744e-02
1.866459584763730845e+03	2.026193640027949883e+01	3.249860474252536796e-02	5.464892634140644783e-04	6.888735952925703621e-02	7.264842287753293069e-04	1.104518808463109902e+00	3.851441137355934938e-03	2.835731079329412374e+00	1.217319016749302679e-01	4.522066206458110855e+02	7.911735993951158896e+00	4.505996494573585309e+00	5.741768253941986538e-04	4.245706593221227482e-02	7.114175107283413416e-04	2.327727953823634233e-01	2.119096311012389888e-03	5.159919873792955691e+00	7.335258859688358057e-02
1.954965643321540256e+03	1.897778902526728828e+01	3.226411884665856405e-02	4.766286564260497380e-04	6.717483690045736311e-02	6.337525202856213484e-04	1.053059667933494925e+00	3.289153635798101188e-03	-1.848745632938134875e+00	1.129173841436051512e-01	4.691598018770618523e+02	9.320929533327385386e+00	4.538498913382895239e+00	6.307194462366203175e-04	4.126165776216297182e-02	7.861495594412619631e-04	2.368044230352323032e-01	2.380804203798078059e-03	-9.487940848649283332e-01	8.225853560952273158e-02
2.265146184669874401e+03	2.013261818164323103e+01	4.660095187533689481e-02	4.494104220350230534e-04	6.913433642298003057e-02	5.967331728236465686e-04	1.067755000008058897e+00	3.086455829765780926e-03	-7.265539250951050798e-01	1.238281474039238800e-01	5.495424868876731352e+02	9.527168105905051476e+00	4.542986761524780981e+00	5.613868143617318932e-04	4.200784701477693062e-02	6.980174447040109155e-04	2.366185261540287854e-01	2.099900886787683680e-03	7.520250810803434938e-01	8.609432038651150532e-02
1.953580498326290353e+03	1.940057878375287359e+01	3.122853370904980774e-02	4.822565306686108053e-04	6.648458384131099297e-02	6.418002103009707443e-04	1.061868335839273980e+00	3.365064971681216467e-03	-1.757305835473749633e+00	1.132064493587078557e-01	4.446119378715917492e+02	6.815302233444885616e+00	4.479343625707611132e+00	5.177872596651450932e-04	4.327291701338174118e-02	6.335744285323109031e-04	2.164836103204142992e-01	1.825781186829763961e-03	-1.420947150924647406e+00	6.820459953983015744e-02
1.922331506683600765e+03	1.835812082415910496e+01	3.936526098186990397e-02	4.833532333338653097e-04	6.922008619863338763e-02	6.420025214772206957e-04	1.082354233334139604e+00	3.349478889824913323e-03	5.736458477824517566e+00	1.122751590756514983e-01	4.416573932161032872e+02	8.069039979650428407e+00	4.498927476609437370e+00	6.226756183436129091e-04	4.368462357455775436e-02	7.625553257061922071e-04	2.199719970262298818e-01	2.203050469111209313e-03	5.841367469569434867e+00	8.080739870897778176e-02
1.889416206382397149e+03	1.733117311618567058e+01	3.652874588827818847e-02	4.552366519117039575e-04	6.790778015979263837e-02	6.052632338200766718e-04	1.075059820969489710e+00	3.170092397857310687e-03	7.650918965275522510e+00	1.035282108176526494e-01	5.067829406743899199e+02	8.956970545323560629e+00	4.519938154841438127e+00	6.057883233724930703e-04	4.407955707795919997e-02	7.448936874046808640e-04	2.286783437625770909e-01	2.175922223696625732e-03	9.972701720210936926e+00	8.824388646225510280e-02
2.057123011029189456e+03	1.904738685368534945e+01	4.056343726739512073e-02	4.784615446575536083e-04	7.063592438010928010e-02	6.347804374029955956e-04	1.087696638994269716e+00	3.293404875511721491e-03	-8.744476961822196248e-01	1.195674643645961294e-01	4.176109501247529465e+02	8.566018235773896095e+00	4.489151243469162722e+00	6.596332814702419349e-04	4.168553424377255401e-02	8.193699679565794947e-04	2.328670270178914981e-01	2.456777049100064558e-03	3.939434741132517570e-01	7.754551837125342462e-02
1.803162788243569366e+03	1.778313578567546216e+01	2.703305495758369717e-02	5.012474970667896591e-04	6.949636067834173703e-02	6.655797451301805577e-04	1.081138096420126704e+00	3.463752423061861214e-03	-1.840874947908770265e+00	1.094481728283273336e-01	2.943482647257523581e+02	4.923370933375813330e+00	4.478390099194537122e+00	5.623840878067556557e-04	4.316816142075067392e-02	6.901724347260821367e-04	2.205352062416122139e-01	2.003792416550226069e-03	-1.245289616997277138e+00	4.847875047225500694e-02
1.979557504975955453e+03	1.904086468165970203e+01	3.466697138872731204e-02	4.762278177847423417e-04	6.771427789399013519e-02	6.328612305489610774e-04	1.050569587010389050e+00	3.267707172186751739e-03	-1.768976186619199531e+00	1.147422440107229713e-01	4.504658250105136403e+02	8.326285663307606555e+00	4.473931554975100866e+00	5.950376354351355826e-04	4.184006583592157075e-02	7.417103284402943014e-04	2.404477060090016993e-01	2.248128511266183748e-03	-9.855629418133099451e-01	7.398622321891012987e-02
