# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
1.869677538220346605e+03	1.177660958124365820e+01	7.849320140898960463e-02	4.752108316043547674e-04	1.014858152290205179e-01	6.132228438062365446e-04	1.093788200452928683e+00	2.732436635524869255e-03	1.305853184920658050e+00	1.228659820412923293e-01	5.491440253547680186e+02	9.129039722541616442e+00	3.735411676717119267e+00	4.931238700673523006e-04	3.860232028097251161e-02	6.158399057059005472e-04	2.242194360175024104e-01	1.870415648358601021e-03	3.604359380331031204e+00	7.696068020920363018e-02
1.977682407266828250e+03	1.453177083494976252e+01	4.737666431766459491e-02	4.136613639051369361e-04	7.668383354175589695e-02	5.456441668756663570e-04	1.077547579820777646e+00	2.713237828771543434e-03	3.615550131947011803e-01	1.030426436498275561e-01	5.478360421381206606e+02	1.025454072038993480e+01	3.723933228742008605e+00	5.541491075696631206e-04	3.856211410596571687e-02	6.928888306222665081e-04	2.262299448965564008e-01	2.112405318206792438e-03	1.961154012293776505e+00	8.576424107505135896e-02
1.702963610065800822e+03	9.863995819801802512e+00	8.997416394204767187e-02	5.066331185638612428e-04	1.167492029806246195e-01	6.452240879615644790e-04	1.108904716936331081e+00	2.738662376836204816e-03	-1.375470901002508795e+00	1.241952571312429088e-01	5.432229123800549360e+02	8.661046923778954465e+00	3.684639731683817310e+00	4.494928969725136376e-04	3.682579403837811516e-02	5.641465559503397627e-04	2.224272117770604296e-01	1.737339175319201935e-03	2.034192779700897125e-01	6.909930355364232724e-02
1.854108079592308286e+03	1.072626349342595731e+01	9.259675523337619618e-02	4.717785420552771916e-04	1.091736814063176547e-01	6.041174714682518527e-04	1.075494864212213963e+00	2.582969662208888049e-03	7.451507627318511240e+00	1.249186968427235533e-01	5.457682418252846901e+02	8.459559916371134136e+00	3.750864383163142524e+00	4.418546775820460693e-04	3.712334826566889012e-02	5.524031916164416026e-04	2.170687245452690706e-01	1.680436518803230840e-03	9.365941851516662808e+00	6.945145141480049689e-02
1.701935781065037645e+03	9.586848622586661151e+00	6.319948216697422738e-02	4.435751157104910825e-04	1.057254537768104047e-01	5.704607406239075359e-04	1.105520436212291235e+00	2.516917258415798334e-03	-1.444736808225348668e+01	1.053377761113563627e-01	6.385215708756837785e+02	1.078131627758178901e+01	3.664687175721979440e+00	4.750278348878503591e-04	3.694877131071826887e-02	6.004849358177841373e-04	2.379201134264453676e-01	1.896284644190074364e-03	-1.269894554588190161e+01	8.213676334539569968e-02
1.636627307053063760e+03	9.460254430088378186e+00	8.796252006206582708e-02	5.055731286731295982e-04	1.166250211430661793e-01	6.431366947443205480e-04	1.079945489145655690e+00	2.684126043430358922e-03	-1.078773531184127332e+00	1.204708971273154988e-01	5.196306707144576649e+02	8.423547894969825478e+00	3.703848874130055702e+00	4.806401683088294989e-04	3.839120720204934611e-02	5.964533500155472972e-04	2.118665704770879843e-01	1.776659216583886770e-03	1.026548534623990205e+00	7.352076225481819771e-02
1.683144733289171199e+03	9.387837705899155338e+00	9.036263041765602022e-02	4.822513584563419215e-04	1.153478088651782030e-01	6.140525013981920849e-04	1.075265608859870214e+00	2.566929503217323192e-03	-1.815248132504350131e-01	1.179975191121908351e-01	4.691572156133023555e+02	8.710848690408742101e+00	3.687423503897806487e+00	5.585105910767997192e-04	3.907155661855792050e-02	6.957889466480895882e-04	2.225982197394383300e-01	2.098375330959258676e-03	1.032238132465356450e+00	7.499110795687564945e-02
1.955955951104463793e+03	1.363470084533137694e+01	5.833570626511615925e-02	4.413327265309640343e-04	8.587578036533193016e-02	5.777076510678914433e-04	1.099888113359486663e+00	2.773295276680517746e-03	-1.680435927821022801e+00	1.122312949301077084e-01	5.761217680758599045e+02	1.001281864982511216e+01	3.719718147251168006e+00	4.961845359586583050e-04	3.710481508424966213e-02	6.187215066793369696e-04	2.123950255072246385e-01	1.867014964184114667e-03	-1.111090735482002989e+00	8.348722489977956907e-02
1.739877430046195286e+03	1.099940777780257228e+01	7.837983629884699710e-02	5.016144764499111527e-04	1.064306267027978065e-01	6.443281685236294061e-04	1.090850505741014498e+00	2.809899972875581995e-03	-1.588855588883389958e+00	1.227910766407135090e-01	5.832835592673449128e+02	1.093679249286205213e+01	3.713777083000790125e+00	5.425548018521380699e-04	3.769644134611584152e-02	6.786065272871271564e-04	2.214514061297265801e-01	2.068775816412518447e-03	7.115492088545501970e-01	9.024008135838335054e-02
1.716307303015298430e+03	1.068139902240081973e+01	7.741552500503232070e-02	4.941195307102370449e-04	1.064866662094819394e-01	6.346023756104117583e-04	1.088247291305117770e+00	2.762538611259774714e-03	-2.140974066346749805e+00	1.194702748092095618e-01	3.688183008330381654e+02	6.439856950977259409e+00	3.684834190654946440e+00	5.298087065297125498e-04	3.928746661636844245e-02	6.574603425231877749e-04	2.170711533964956308e-01	1.960259618387950875e-03	-9.174503098275433866e-01	5.688018646171059262e-02
