# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
1.752447659021703203e+03	1.068191728086768677e+01	9.258138149190023314e-02	5.560893373960021499e-04	1.213812231456631169e-01	7.046929368435938396e-04	1.090424227262260848e+00	2.912234863571376824e-03	-1.031057331850508163e+01	1.430596974934405519e-01	6.773623920015257909e+02	1.108629600604178123e+01	3.141856407399151063e+00	4.542235493571006809e-04	3.622863346138403134e-02	5.696643707837293485e-04	2.172486170663845417e-01	1.748769386164830859e-03	-9.415969889144681915e+00	8.812859943830068932e-02
1.758253412437857833e+03	1.137441329867869477e+01	1.056460314970658204e-01	6.008472771374113834e-04	1.233960121410723754e-01	7.597380635842989954e-04	1.082368356632843698e+00	3.104155321716010538e-03	3.728340065418401572e+00	1.563789689412034278e-01	6.127688295070688582e+02	1.086349515552876888e+01	3.165080935847940591e+00	4.809728775240059090e-04	3.551500966895901334e-02	6.054607715727481233e-04	2.197034907046464536e-01	1.880284182148577767e-03	5.214128423497869314e+00	8.344638446237445661e-02
1.573363757711595781e+03	8.255888119172801964e+00	9.667113476669217387e-02	4.999964473353541447e-04	1.264381203243234997e-01	6.307774086309366054e-04	1.092390974040250873e+00	2.567681355170534519e-03	-2.124169500544678402e-01	1.168510779295840740e-01	6.522824226738981679e+02	1.110984578402514344e+01	3.098786963974872855e+00	4.392095138572704575e-04	3.385394492671658234e-02	5.550600608685458959e-04	2.163253327672425286e-01	1.743760325469214528e-03	2.828781200724509226e+00	8.110597118540543993e-02
1.672428565228148045e+03	1.005028222252290071e+01	9.416684913732735474e-02	5.391835180092487134e-04	1.193700292595284151e-01	6.836463347467147157e-04	1.063481168343562988e+00	2.798747358327770968e-03	-1.952031125752860419e+00	1.331568846074443480e-01	6.177977170982878761e+02	1.114223843813108239e+01	3.118120067083556712e+00	4.792486166625398148e-04	3.478118635437407041e-02	6.032223939630162275e-04	2.146985358335641303e-01	1.870839094897137466e-03	-2.955479480378890855e-01	8.474561537259499289e-02
1.628736907374528755e+03	9.715448972186699450e+00	8.667920839244261377e-02	5.260973067634656507e-04	1.175889797618195898e-01	6.689648312198538801e-04	1.090035241458251924e+00	2.799515963105030873e-03	-2.358265321698459704e+00	1.245658849192343293e-01	6.061793033469515422e+02	1.094852968691107442e+01	3.126725646361232513e+00	4.696236350536619596e-04	3.422038154266528187e-02	5.953563967812407947e-04	2.252211234396775119e-01	1.892829383917366166e-03	-2.322700298159774135e-01	7.861621291972777092e-02
1.651999284132885805e+03	1.004837311225738361e+01	9.903385203948837645e-02	5.753043603151876319e-04	1.256146921678812367e-01	7.266622624104466599e-04	1.102454543842793289e+00	2.983439352607581210e-03	4.211057763980844970e-01	1.403403119301251112e-01	7.272328342314401652e+02	1.231060347747937378e+01	3.116661914228039620e+00	4.299285131163132134e-04	3.356997613104659856e-02	5.482703101183214380e-04	2.337256992444848025e-01	1.782033069983066358e-03	3.084771427167279256e+00	8.378616163533855743e-02
1.744542691917420825e+03	1.133567825341546431e+01	9.711312097894300721e-02	5.898435852855427389e-04	1.208676701293800865e-01	7.481976776292813876e-04	1.101824286034812417e+00	3.118383442650834569e-03	-1.389393651192592616e+00	1.501790359098387206e-01	6.173221523496387135e+02	1.328270026017126249e+01	3.138095000963116998e+00	5.412903441468008359e-04	3.326781028281353136e-02	6.906995469838453925e-04	2.328746174795877644e-01	2.249395209687802665e-03	1.553411672873212135e+00	8.957390909013061842e-02
9.114581487939343560e+02	6.665391022355970918e+00	6.710051397122367145e-02	8.539463727110473135e-04	1.528920062420298376e-01	1.053406699737906727e-03	1.119171470191930862e+00	4.046753957798898509e-03	1.885470752577239617e+00	1.209299813001455670e-01	6.175854640560440885e+02	1.048914394833119168e+01	3.015964155061724661e+00	4.445768350411032879e-04	3.443416112938795653e-02	5.633395822936537733e-04	2.257384495681482584e-01	1.788452332027135874e-03	4.323954754605366269e+00	7.581175479442284204e-02
1.717657344049119047e+03	9.370398950646864122e+00	9.708344058895222728e-02	4.874639000263420742e-04	1.189399849218902849e-01	6.184732286877790263e-04	1.068724936396618697e+00	2.543586771735982868e-03	4.302001483870461218e-01	1.232303779201290583e-01	6.349829449936366927e+02	1.082310437104702672e+01	3.165215590983868399e+00	4.542634993287931544e-04	3.484868644080763023e-02	5.709721397517147521e-04	2.125114501699893466e-01	1.762589096549466291e-03	3.873203475399438656e+00	8.316072364954393836e-02
1.659135321687160285e+03	9.742378618840302096e+00	9.826533438555583311e-02	5.447695027072866746e-04	1.230683962911848506e-01	6.877193877662022246e-04	1.044603586221296787e+00	2.750001570430060573e-03	-2.938775847621225790e+00	1.357942845579181990e-01	6.661182217009975375e+02	1.190156522443674803e+01	3.138539092482676374e+00	4.696035667864862035e-04	3.447915164761496815e-02	5.928093402214972647e-04	2.183245904397503323e-01	1.856528415223921737e-03	-1.990141552564511196e+00	8.837100818934785773e-02
