# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
1.926635821267855363e+03	2.675569659636686737e+01	5.108843820190469426e-02	7.729305743122613908e-04	7.661126619843672270e-02	1.045061791061492910e-03	1.205356283616857649e+00	4.774961465360168245e-03	3.319273834033548143e-01	6.039276787618408360e-02	8.173387730198034262e+01	6.260622956059616051e+00	2.377668384438486271e+01	8.334133373066368242e-03	1.385519793052959192e-01	1.014080409172736508e-02	6.556668905264049219e-01	2.843557309990385126e-02	-3.064782031345874014e-01	5.128679253909873559e-02
1.699791325644961034e+03	2.369180045424351277e+01	4.462671804913261736e-02	8.363303312521848994e-04	8.253954254160635051e-02	1.129304587494330990e-03	1.266898063563343779e+00	5.110778608162931322e-03	9.118937772292113886e-01	5.693170575521640242e-02	6.134025805195143732e+01	4.312275160815411290e+00	2.364722187194321279e+01	1.008248473174551581e-02	1.741610463027382927e-01	1.157544342480196393e-02	5.990743579318057455e-01	2.949035090076638013e-02	5.260111579458340847e-01	4.958321559167788717e-02
1.940348323494277565e+03	2.635674873754894421e+01	4.623031408140387127e-02	7.293724807384017192e-04	7.398080761811653971e-02	9.875338755164408868e-04	1.199841865483349368e+00	4.573133214212746558e-03	-7.753717149265521025e-01	5.683915101281831334e-02	7.073965034842213129e+01	4.655494710968572925e+00	2.376506531083862583e+01	1.037462477515345427e-02	1.844246078756185958e-01	1.141714359488127904e-02	5.285734495008759248e-01	2.777138228315846960e-02	-2.132608569218789718e+00	6.181563035299970227e-02
1.933748020260314206e+03	1.883289948005750958e+01	4.840621900811071382e-02	5.389444708648934851e-04	7.619120541227761279e-02	7.289383357734398067e-04	1.207705926177813138e+00	3.341844672775687655e-03	-6.919014861940366024e-02	4.210780121715453073e-02	3.538752232661129682e+01	3.351438766409821746e+00	2.364488211704857790e+01	1.581205311914182440e-02	1.932206391002314338e-01	1.717482945159786931e-02	5.265829702059519057e-01	4.132291474942768883e-02	-8.067717224587390712e-01	4.695502539994263896e-02
1.902876939110637750e+03	2.223999469596468259e+01	4.420576912409589915e-02	6.847510311738715799e-04	8.044164755630671404e-02	9.220717154546641562e-04	1.159289211390328811e+00	4.048291483576347237e-03	-1.688993702452506440e+01	5.560809343629970203e-02	6.109148339257490790e+01	8.208802282472456469e+00	2.364352307903619277e+01	1.390475607419719602e-02	1.323937210026300271e-01	1.701128508541714657e-02	6.488406981976583277e-01	4.825086456244544880e-02	-2.094357999463115050e+01	6.398271627726331845e-02
1.675416739431841961e+03	2.575049430265266892e+01	3.196152813303936024e-02	8.268861564244773046e-04	7.413899697916039033e-02	1.119900735366189662e-03	1.211456714989248784e+00	5.204883832495079375e-03	-1.017913829786883051e+00	5.523884678914577767e-02	4.423098197472000237e+01	3.570288728211500562e+00	2.375911184199770076e+01	1.419391696180496987e-02	1.915700601898273070e-01	1.442224577860103454e-02	4.160324332302399175e-01	3.323979267984851493e-02	-2.593802118611347574e+00	5.634670754296942918e-02
1.723819758081191594e+03	2.148061664064688614e+01	5.526453320908935457e-02	7.950140911525074459e-04	8.745295117909447635e-02	1.067996757907222318e-03	1.206203306212414672e+00	4.604181215493492567e-03	-2.761548876966832378e+00	5.840641555682286878e-02	5.358785898811203197e+01	6.482861305909440652e+00	2.366092290374934137e+01	1.643741938332329150e-02	1.700777163266916914e-01	1.955568709620475812e-02	7.044062325740744201e-01	5.264285842009176070e-02	-4.179249195954007234e+00	6.501615389811966905e-02
1.676204683651244295e+03	2.677502960105125851e+01	3.589085354395684518e-02	9.175527187289387503e-04	7.910281391762362391e-02	1.241229376458065836e-03	1.262494324558603109e+00	5.715125415281790446e-03	6.768918352283768147e-01	6.076435075357788929e-02	6.754162791541310185e+01	6.851492490096165788e+00	2.369932675539536859e+01	1.157096742758276925e-02	1.466168658861580765e-01	1.422606799385496730e-02	7.458596302487151553e-01	4.094335421731824798e-02	-3.524953110635984377e-01	5.484702328199755200e-02
1.439241414825805577e+03	5.542831555442894143e+01	-2.875820803333240926e-03	1.975173846510967432e-03	7.098075324155656007e-02	2.691920578901485332e-03	1.364778863745900406e+00	1.351296786678362477e-02	-3.810750579599905263e-01	1.007623849098568253e-01	2.892697022478025914e+01	4.154123750148773553e+00	2.381829724470929932e+01	4.285335776785811207e-02	2.194616929097001623e-01	2.917680404318836671e-02	2.024557608693960398e-01	6.754408730658907623e-02	-6.178056759512163820e-01	9.318444214642425394e-02
1.764546393772697229e+03	2.246750447351633184e+01	4.363486552237470090e-02	7.156759626588495883e-04	7.730158324819613735e-02	9.662918040432529661e-04	1.178229129342103665e+00	4.350594478489592729e-03	-7.694824498458311401e-01	5.237593329061496217e-02	4.011319197186215746e+01	4.745980910343014614e+00	2.369077791711795911e+01	2.246958511886303078e-02	2.140793202547570662e-01	2.370451806876432144e-02	5.262567881905905187e-01	5.587727559030980506e-02	-2.159734369752209560e+00	7.439941826341288367e-02
