# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
1.512998242572315348e+03	1.897419796589384688e+01	1.648655716480823194e-02	7.153912851732819158e-04	7.826303170854030655e-02	9.598042250662093501e-04	1.175597626900476866e+00	4.493874185138157541e-03	-2.379755839156213248e+00	7.772949084518789020e-02	1.684254201303035359e+02	3.759921987693747969e+00	1.249286063511957323e+01	1.516431774982858211e-03	8.254968541511360780e-02	1.741780498656332003e-03	2.858802973238331324e-01	4.455370282015433739e-03	-3.810173198467270428e+00	4.709427043162483367e-02
9.018079260472643455e+02	1.889026287641524604e+01	-6.725133209785040533e-02	1.065055195710918690e-03	7.002996622686462336e-02	1.438121645752609042e-03	1.201666846299286773e+00	7.159503394695709497e-03	-3.473434982651669167e-01	6.499227612466691728e-02	2.496234171356287561e+02	8.351404967238813981e+00	1.229551694627400060e+01	1.735491579572832682e-03	6.608848749945953061e-02	2.111571299327459107e-03	3.143366846369732848e-01	5.946645807112736423e-03	-2.098763355388443053e+00	7.483668351519454087e-02
1.599673159277315108e+03	1.603000463415880716e+01	2.615575257853005112e-02	5.541761346591367885e-04	7.589936676421446538e-02	7.440190803769479964e-04	1.149577098432936761e+00	3.489665198065238557e-03	6.598029699602950826e-01	6.395750430620000815e-02	1.799776873036733491e+02	6.541194306115520440e+00	1.249139005131305069e+01	2.178565480856167313e-03	7.529168523011416092e-02	2.603464412123970579e-03	3.212669818834710811e-01	7.085970923037156720e-03	-4.784364287758733902e-01	6.784942291499794498e-02
1.846510083379651860e+03	1.581748638995162359e+01	4.381314295231398398e-02	4.844853847119216014e-04	7.751808349182016944e-02	6.490938253822522378e-04	1.124115152012037155e+00	2.980884700522450862e-03	-1.508412949877638853e-01	6.614160488658218928e-02	2.402101740043473228e+02	7.933138681461493036e+00	1.260733823517223406e+01	1.791745301960980061e-03	6.907154686266836485e-02	2.177559193653351953e-03	3.265811596339693312e-01	6.124565099949527171e-03	-2.304197754706223567e+00	7.309994247190694516e-02
8.849841731696212719e+02	1.447772192622973364e+01	-5.560979358556802227e-02	1.096430869813127791e-03	9.167680601112587757e-02	1.463511398310534100e-03	1.280778081396135804e+00	6.689627700594302263e-03	-2.741605052907379658e+00	6.957850275078730773e-02	1.715182316425994316e+02	5.216683476162183197e+00	1.237657227151874828e+01	2.024783492113141955e-03	8.036197862482122312e-02	2.307814533408933822e-03	2.681433096046957898e-01	5.840570002919877671e-03	-5.229603502210273369e+00	6.595585532325859424e-02
1.896492567879630997e+03	1.767156170913529678e+01	4.840318014724349222e-02	5.464328259433969166e-04	8.030464851597271525e-02	7.310932936356605337e-04	1.139403841617286917e+00	3.329016329420395656e-03	1.061217674483130313e+00	7.688078835454335846e-02	1.727810513955427894e+02	5.030642463178542023e+00	1.245955709976842485e+01	1.799721278058249605e-03	7.805867102572691674e-02	2.164968493907319744e-03	3.472343359880772917e-01	5.977346512303022621e-03	3.137673155212480913e-02	5.169882466528998716e-02
9.557899051467646814e+02	1.474086212528872331e+01	-3.545181298976080725e-02	1.032620569218268376e-03	9.153267473178020031e-02	1.376935745989754699e-03	1.249584956248645184e+00	6.215849447443352188e-03	-2.815352037669209384e+00	7.197009837112186559e-02	1.762996696409699382e+02	5.979506165535009465e+00	1.234959626424365808e+01	2.188036316313116299e-03	7.886581663144363874e-02	2.531174875195203820e-03	2.824423566985697076e-01	6.532764487884492287e-03	-4.604467998136556162e+00	7.152019807653982320e-02
1.837147551336357537e+03	1.774491130072537004e+01	4.216384842912922898e-02	5.477823210429919086e-04	7.777175708481723349e-02	7.345490059106573027e-04	1.152124831309812247e+00	3.412188579870553944e-03	8.971577702985420455e-01	7.316398375400917642e-02	1.765129010244317840e+02	6.123983453435195123e+00	1.251062528131393314e+01	1.939931569708894200e-03	7.050183443060056843e-02	2.329601701340406911e-03	3.090962363378078614e-01	6.390302257764516811e-03	-8.347586046608067301e-02	6.017444175205766826e-02
1.507397371598032805e+03	1.889038819469016417e+01	8.928072113291976933e-03	6.599855763195693016e-04	7.240029355230581665e-02	8.883872700667553397e-04	1.154772178528967297e+00	4.265453027461631706e-03	-2.909367767693707751e+00	7.024537386355454716e-02	2.149641961576001847e+02	5.945718675927881058e+00	1.252147326074918787e+01	1.528673305416197899e-03	6.858568062782655073e-02	1.801318754204588209e-03	2.693502719051475980e-01	4.769212737331344522e-03	-4.187586183639976589e+00	6.210202676961869284e-02
1.509823397441802854e+03	1.734785373030037903e+01	3.186843973329706037e-02	7.434673177446427059e-04	8.851922927278046971e-02	9.926986111670503196e-04	1.232550180433126474e+00	4.514262749594940595e-03	1.867349403440769606e+00	8.162578746176324396e-02	1.385723299429073450e+02	4.758562064842133843e+00	1.246965787228344169e+01	2.420559581835819620e-03	8.418168422311750332e-02	2.724197925657966327e-03	2.656262598699952182e-01	6.796525572401701000e-03	1.132099974168006229e+00	6.386308690973131752e-02
