# h1 [mV]	 Delta h1 [mV] 	 mu1 [us] 	 Delta_mu1 [us]	sigma1 [us]	 Delta_sigma1 [us] 	 tau1 [us]	 Delta_tau1 [us] 	 c1 [mV] 	 Delta_c1 [mV]	h2 [mV]	 Delta h2 [mV] 	 mu2 [us] 	 Delta_mu2 [us]	sigma2 [us]	 Delta_sigma2 [us] 	 tau2 [us]	 Delta_tau2 [us] 	 c2 [mV] 	 Delta_c2 [mV]
1.876628194715617383e+03	1.854990873842581678e+01	4.324442239900706808e-02	5.704524202992704773e-04	7.912306373714091123e-02	7.646609944667166715e-04	1.167148717495434029e+00	3.549269819011422779e-03	-3.046945751905977495e+00	7.760368066449888080e-02	1.633964752195560663e+02	5.293454766293177016e+00	1.456395938206282992e+01	2.203657634414457091e-03	8.392523560437237240e-02	2.577304083819796469e-03	3.185904492593827353e-01	6.773215493276313857e-03	-5.205016472232298241e+00	6.301481094591615539e-02
1.581902555163915849e+03	1.961008986618054095e+01	2.197350006981360626e-02	7.004993356187231776e-04	7.762638779323410843e-02	9.417191094424558987e-04	1.222132721930653476e+00	4.517872842538928416e-03	1.332765746564664067e+00	7.711721518997963210e-02	1.649449687374868176e+02	5.036273286978765640e+00	1.448998794680251478e+01	1.657557578061200727e-03	6.786862451382760786e-02	1.970173054445776423e-03	2.796481457147341754e-01	5.294229300082936920e-03	-2.623453895914993825e-02	5.061794566855022659e-02
6.502110155735100534e+02	9.331091371646442312e+00	-6.676727352379356606e-02	1.215430221416361790e-03	1.146077452359686721e-01	1.595340228354105803e-03	1.233969981836666285e+00	6.495523566963452324e-03	3.402782123249922464e+00	6.295037663551830698e-02	1.513684409232321286e+02	5.016883592833118577e+00	1.429830618065209613e+01	2.731452844301172911e-03	1.006435940819397912e-01	3.152794609779675534e-03	3.593845494224423565e-01	8.161600421814388731e-03	2.018316892775369187e+00	6.856371523452547967e-02
1.950081268701499084e+03	2.084795546184318837e+01	4.911567051406469375e-02	6.185896585205842091e-04	7.926104338856716780e-02	8.280928901103314695e-04	1.134900111792120914e+00	3.784610737172614068e-03	-1.276756513171773966e+00	8.931008607112017605e-02	9.878535839474002955e+01	3.698390137194288219e+00	1.450722006232136607e+01	2.960694873387059115e-03	9.597114395674004317e-02	3.392536911696300735e-03	3.300800698883018525e-01	8.681032864663122336e-03	-3.898199986700363162e+00	5.044632474628654717e-02
1.798115438075654538e+03	1.610361070671224581e+01	4.157567664443147931e-02	5.179809383767282338e-04	7.928334376092893709e-02	6.941127011627479639e-04	1.161802793544449930e+00	3.211167783244481440e-03	2.452134075151618520e-01	6.779629481935377233e-02	1.212888476594126246e+02	4.443890741566547398e+00	1.452585764457183259e+01	3.112616377532713332e-03	1.002037659533824288e-01	3.451888857127562247e-03	2.984170098460351417e-01	8.506084684503603666e-03	-1.291906545731253964e+00	6.781914260392329918e-02
1.878354059537758985e+03	1.923932705620448047e+01	4.764096498787149386e-02	5.831993808527343977e-04	7.804706822960168211e-02	7.815078353167053153e-04	1.139094335031958227e+00	3.603062413036877028e-03	3.728415033169640402e+00	8.041502003996098269e-02	1.202557403574080581e+02	5.015767089168208237e+00	1.459161742568107911e+01	3.603245637055392091e-03	1.038225102243255094e-01	4.080834989405365126e-03	3.390210261622006449e-01	1.030617175476706421e-02	1.990034896570820111e+00	7.375370102384404269e-02
1.605110630204738754e+03	1.673333517252117630e+01	2.521144226151692674e-02	5.795949912810945430e-04	7.632919226240800215e-02	7.784601696526019955e-04	1.169057916880314352e+00	3.674640512623141703e-03	3.799039515612362972e-01	6.644155546690942715e-02	1.632484790338814662e+02	5.691085961426880502e+00	1.446333233265124818e+01	2.354551423036988118e-03	8.429243493634998308e-02	2.791130259667394531e-03	3.445488293310811634e-01	7.506435021851191533e-03	-5.519924058817345935e-01	6.461504711128558676e-02
1.739215719160408298e+03	2.010828681696358800e+01	2.903287239463717834e-02	6.224222148697983572e-04	7.398769764326157405e-02	8.374091684697535605e-04	1.172150261764897561e+00	4.013716776897046333e-03	6.142959733423039026e-01	7.623816173772865468e-02	1.271301680505028315e+02	4.267089708967419348e+00	1.443071690615939140e+01	2.994248816182687976e-03	1.069546143922324721e-01	3.382275071153187200e-03	3.455780301222184381e-01	8.521509970080432678e-03	-1.096671641445909895e+00	6.419514339502258027e-02
1.718117535016267766e+03	1.679014395953601380e+01	3.485176485681586861e-02	5.519553524806902756e-04	7.747234914508044357e-02	7.403024868987982720e-04	1.152200830398208309e+00	3.444990201917853302e-03	-4.280928252089460373e-01	6.884223389271997007e-02	1.686981803694560824e+02	6.005070448791436810e+00	1.449607847376454473e+01	2.325783726445422150e-03	8.106826081112754323e-02	2.737794651406862470e-03	3.181904813882299732e-01	7.265364419937911551e-03	-2.857104055634670292e+00	6.860587134747456184e-02
1.628308634764558519e+03	1.434439998281470885e+01	2.837888333810958605e-02	4.978937501465446110e-04	7.754262693619977387e-02	6.680233718932483038e-04	1.162921598532344891e+00	3.122625766469590888e-03	-2.220620787131448171e-01	5.847648642750023079e-02	1.585393726398848173e+02	6.362322551935673864e+00	1.443177856410988191e+01	2.833243308859928131e-03	8.731898363117149287e-02	3.322106783540607414e-03	3.364307075758017906e-01	8.776241691983334078e-03	-2.091623107108624868e+00	7.660826690747513101e-02
1.003529431539144639e+03	1.992851672438241195e+01	-4.197234107841829598e-02	1.047529832550671584e-03	7.259182729567718872e-02	1.412064841154255391e-03	1.202098588941290735e+00	6.918892668794054263e-03	9.796175670451234829e-01	7.213504207379504984e-02	1.639486578897882509e+02	5.269511459232229633e+00	1.425031463720691960e+01	2.146650221112590424e-03	8.424627381713604979e-02	2.577132738381642061e-03	3.711854347922683983e-01	7.102742949430054104e-03	5.014388033330793165e-02	5.680693326588710096e-02
9.561798366910812774e+02	1.698971845193050356e+01	-5.815952442717364779e-02	8.999482008068042599e-04	6.980684140836082574e-02	1.216125887662596831e-03	1.222684781883494054e+00	6.120484044396759526e-03	6.068502241113443718e-01	5.741684585803664975e-02	1.370198463197364731e+02	4.627811153409660427e+00	1.435036253649127147e+01	2.446689812041135444e-03	8.842415360530091195e-02	2.824353216178373312e-03	3.144532679006648013e-01	7.286782173069828762e-03	1.551386724733822831e-01	5.912633869479105853e-02
1.327714416925817886e+03	1.800306534137871850e+01	-6.902581410147363636e-03	6.720374722473764070e-04	6.825392214896429388e-02	9.072402321351516171e-04	1.156142764081768304e+00	4.475352615885296904e-03	-6.657319245589325973e-01	6.150526018532632283e-02	1.315510098607114742e+02	4.740175205726548491e+00	1.429623703545517976e+01	2.463132776115528003e-03	8.500069239019410194e-02	2.906266408254757488e-03	3.385076994248472082e-01	7.753622808665762769e-03	-3.209626495643843835e+00	5.501437100395240032e-02
1.934811145943114980e+03	1.519413426973875048e+01	4.772258048812165476e-02	4.493538478539516436e-04	7.844112495620038372e-02	6.022206539359545308e-04	1.149406864363880398e+00	2.783453283436385008e-03	3.763607889050348265e-01	6.352406071339682103e-02	1.441950204362956356e+02	5.064881932838003920e+00	1.453387811335549173e+01	2.622421503209286953e-03	9.151192786692768921e-02	3.041537217990092530e-03	3.336006591196399307e-01	7.908467170066950727e-03	-8.647676248905635799e-01	6.486716647840234939e-02
7.350530301928191648e+02	1.542608534303784396e+01	-9.512235151217822426e-02	1.314948915640046017e-03	8.577923058681860558e-02	1.758086167809255708e-03	1.219387076665964686e+00	8.059727635170647886e-03	-1.958851091362007857e+00	6.999425955813141920e-02	1.653677856108757283e+02	4.168942430270596411e+00	1.431521632593900684e+01	1.925241000480285795e-03	9.180192981034225597e-02	2.183162018061488279e-03	3.003887405967149427e-01	5.505756094542056146e-03	-4.416137723645602975e+00	5.730669638793491061e-02
1.758579720740321818e+03	1.889117142515131675e+01	4.093389219094515502e-02	6.253003026516028556e-04	7.978570784060357024e-02	8.377950208086271848e-04	1.166935102675440428e+00	3.874076205370246152e-03	1.680101470150923371e+00	7.997831031702963556e-02	1.384917199982044451e+02	3.228813523473300418e+00	1.451144720684800937e+01	1.937506460835091305e-03	9.989942394820526539e-02	2.195518808279814209e-03	3.266401588498648589e-01	5.543224253939799118e-03	1.618157552247522224e-01	4.646371640490328664e-02
